model,trajectory,residual_logD_spearman,residual_mean
affine,cerebras_0.111B,0.9956137867152413,0.46260137900241743
affine,cerebras_0.256B,0.9950357585844358,0.1282606517092181
affine,cerebras_0.59B,0.9971740848722521,0.025774191946705584
affine,cerebras_1.3B,0.9964978297388262,-0.032618897122517455
affine,cerebras_13.0B,0.9972798677981513,-0.1713366673624238
affine,cerebras_2.7B,0.9961880368844075,-0.07999209201186935
affine,cerebras_6.7B,0.997532991227981,-0.1343655403438304
mean,cerebras_0.111B,0.9973233092669779,-0.4322257369614512
mean,cerebras_0.256B,0.9973176474145438,-0.21613129251700638
mean,cerebras_0.59B,0.9982866913047646,-0.05581938775510201
mean,cerebras_1.3B,0.9979173968404175,0.06309410430839012
mean,cerebras_13.0B,0.9985029785876568,0.269782199546485
mean,cerebras_2.7B,0.997671829101934,0.14637346938775472
mean,cerebras_6.7B,0.998265915785996,0.22492664399092951
offset,cerebras_0.111B,0.9967207294755419,-0.0008037594038432939
offset,cerebras_0.256B,0.9961011437667047,-0.0003514678859444171
offset,cerebras_0.59B,0.9975707708443737,-0.002233531687333518
offset,cerebras_1.3B,0.9970871917545494,0.00029728210808468937
offset,cerebras_13.0B,0.997876785737153,0.0019176073651030543
offset,cerebras_2.7B,0.9968416242479982,0.00046797233522813793
offset,cerebras_6.7B,0.9979410110850202,0.0007058971687045986
raw,cerebras_0.111B,0.9967207294755419,-1.1791307491242855
raw,cerebras_0.256B,0.9961011437667047,-1.178743070680373
raw,cerebras_0.59B,0.9975707708443737,-1.1803562682244204
raw,cerebras_1.3B,0.9970871917545494,-1.178186999256919
raw,cerebras_13.0B,0.997876785737153,-1.1767981490366177
raw,cerebras_2.7B,0.9968416242479982,-1.1780406933479386
raw,cerebras_6.7B,0.9979410110850202,-1.1778367577763875
selected,cerebras_0.111B,0.9967207294755419,-0.0008037594038432939
selected,cerebras_0.256B,0.9961011437667047,-0.0003514678859444171
selected,cerebras_0.59B,0.9975707708443737,-0.002233531687333518
selected,cerebras_1.3B,0.9970871917545494,0.00029728210808468937
selected,cerebras_13.0B,0.997876785737153,0.0019176073651030543
selected,cerebras_2.7B,0.9968416242479982,0.00046797233522813793
selected,cerebras_6.7B,0.9979410110850202,0.0007058971687045986
