task,branch,axis,fold,model,actual_model,intercept,slope,n_calibration,n_calibration_groups,n_test
B2,scale,none,0,raw,raw,0.0,1.0,882,6,147
B2,scale,none,0,offset,offset,1.1783269897204425,1.0,882,6,147
B2,scale,none,0,affine,affine,-1.1902242348231487,2.0741342873390867,882,6,147
B2,scale,none,0,mean,mean,3.3834062358276644,0.0,882,6,147
B2,scale,none,0,selected,offset,1.1783269897204425,1.0,882,6,147
B2,scale,none,1,raw,raw,0.0,1.0,882,6,147
B2,scale,none,1,offset,offset,1.1783916027944283,1.0,882,6,147
B2,scale,none,1,affine,affine,-0.15427211576598276,1.596034035225776,882,6,147
B2,scale,none,1,mean,mean,3.4142768707482998,0.0,882,6,147
B2,scale,none,1,selected,offset,1.1783916027944283,1.0,882,6,147
B2,scale,none,2,raw,raw,0.0,1.0,882,6,147
B2,scale,none,2,offset,offset,1.1781227365370868,1.0,882,6,147
B2,scale,none,2,affine,affine,-0.002618155564861002,1.522670079183176,882,6,147
B2,scale,none,2,mean,mean,3.4371785714285714,0.0,882,6,147
B2,scale,none,2,selected,offset,1.1781227365370868,1.0,882,6,147
B2,scale,none,3,raw,raw,0.0,1.0,882,6,147
B2,scale,none,3,offset,offset,1.1784842813650036,1.0,882,6,147
B2,scale,none,3,affine,affine,-0.014358791165147267,1.5241695053550388,882,6,147
B2,scale,none,3,mean,mean,3.4541662131519275,0.0,882,6,147
B2,scale,none,3,selected,offset,1.1784842813650036,1.0,882,6,147
B2,scale,none,4,raw,raw,0.0,1.0,882,6,147
B2,scale,none,4,offset,offset,1.178508665683167,1.0,882,6,147
B2,scale,none,4,affine,affine,-0.08297081248138527,1.551453276075891,882,6,147
B2,scale,none,4,mean,mean,3.466063265306122,0.0,882,6,147
B2,scale,none,4,selected,offset,1.178508665683167,1.0,882,6,147
B2,scale,none,5,raw,raw,0.0,1.0,882,6,147
B2,scale,none,5,offset,offset,1.1785426549450921,1.0,882,6,147
B2,scale,none,5,affine,affine,-0.20622863551969228,1.6024038338415987,882,6,147
B2,scale,none,5,mean,mean,3.47728514739229,0.0,882,6,147
