task,branch,axis,model,intercept,slope,n_target_labels,interpretation,branch_supported_beyond_simple_baseline,v1_updated
B2,scale,none,raw,0.0,1.0,1029,full_target_refit_not_validation,True,False
B2,scale,none,offset,1.17844181249242,1.0,1029,full_target_refit_not_validation,True,False
B2,scale,none,affine,-0.17288095145102123,1.5961601586911245,1029,full_target_refit_not_validation,True,False
B2,scale,none,mean,3.4451527696793,0.0,1029,full_target_refit_not_validation,True,False
A60M,full_mixture,none,raw,5.344656776171178,1.0,256,full_target_refit_not_validation,True,False
A60M,full_mixture,none,offset,3.8365703682489887,1.0,256,full_target_refit_not_validation,True,False
A60M,full_mixture,none,affine,3.832078431512771,0.6711418079036777,256,full_target_refit_not_validation,True,False
A60M,full_mixture,none,mean,3.8229111776185722,0.0,256,full_target_refit_not_validation,True,False
A60M,connection,Q_A_topsis_0_1,raw,5.344656776171178,1.0,256,full_target_refit_not_validation,True,False
A60M,connection,Q_A_topsis_0_1,offset,3.834863837540131,1.0,256,full_target_refit_not_validation,True,False
A60M,connection,Q_A_topsis_0_1,affine,3.8293189887873895,0.6388361287803819,256,full_target_refit_not_validation,True,False
A60M,connection,Q_A_topsis_0_1,mean,3.8195111148715633,0.0,256,full_target_refit_not_validation,True,False
A60M,connection,quality_score_soft_proxy_0_1,raw,5.344656776171178,1.0,256,full_target_refit_not_validation,True,False
A60M,connection,quality_score_soft_proxy_0_1,offset,3.8407975421889353,1.0,256,full_target_refit_not_validation,True,False
A60M,connection,quality_score_soft_proxy_0_1,affine,3.836964791274825,0.7134589077676797,256,full_target_refit_not_validation,True,False
A60M,connection,quality_score_soft_proxy_0_1,mean,3.827421621533886,0.0,256,full_target_refit_not_validation,True,False
A1B,full_mixture,none,raw,5.344656776171178,1.0,64,full_target_refit_not_validation,False,False
A1B,full_mixture,none,offset,2.1544008884116703,1.0,64,full_target_refit_not_validation,False,False
A1B,full_mixture,none,affine,2.2222048692415,0.0472873584072028,64,full_target_refit_not_validation,False,False
A1B,full_mixture,none,mean,2.2255702818569714,0.0,64,full_target_refit_not_validation,False,False
A1B,connection,Q_A_topsis_0_1,raw,5.344656776171178,1.0,64,full_target_refit_not_validation,False,False
A1B,connection,Q_A_topsis_0_1,offset,2.1639917919204583,1.0,64,full_target_refit_not_validation,False,False
A1B,connection,Q_A_topsis_0_1,affine,2.240744158151313,0.04876702341372636,64,full_target_refit_not_validation,False,False
A1B,connection,Q_A_topsis_0_1,mean,2.2446790348147267,0.0,64,full_target_refit_not_validation,False,False
A1B,connection,quality_score_soft_proxy_0_1,raw,5.344656776171178,1.0,64,full_target_refit_not_validation,False,False
A1B,connection,quality_score_soft_proxy_0_1,offset,2.1411428766201475,1.0,64,full_target_refit_not_validation,False,False
A1B,connection,quality_score_soft_proxy_0_1,affine,2.2093955577547972,0.028765124452771858,64,full_target_refit_not_validation,False,False
A1B,connection,quality_score_soft_proxy_0_1,mean,2.2114170017087815,0.0,64,full_target_refit_not_validation,False,False
