task,branch,axis,fold,selected
B2,scale,none,0,offset
B2,scale,none,1,offset
B2,scale,none,2,offset
B2,scale,none,3,offset
B2,scale,none,4,offset
B2,scale,none,5,offset
B2,scale,none,6,offset
A60M,full_mixture,none,0,affine
A60M,full_mixture,none,1,affine
A60M,full_mixture,none,2,affine
A60M,full_mixture,none,3,affine
A60M,full_mixture,none,4,offset
A60M,connection,Q_A_topsis_0_1,0,affine
A60M,connection,Q_A_topsis_0_1,1,affine
A60M,connection,Q_A_topsis_0_1,2,affine
A60M,connection,Q_A_topsis_0_1,3,affine
A60M,connection,Q_A_topsis_0_1,4,affine
A60M,connection,quality_score_soft_proxy_0_1,0,offset
A60M,connection,quality_score_soft_proxy_0_1,1,offset
A60M,connection,quality_score_soft_proxy_0_1,2,offset
A60M,connection,quality_score_soft_proxy_0_1,3,offset
A60M,connection,quality_score_soft_proxy_0_1,4,offset
A1B,full_mixture,none,0,mean
A1B,full_mixture,none,1,mean
A1B,full_mixture,none,2,mean
A1B,full_mixture,none,3,mean
A1B,full_mixture,none,4,affine
A1B,connection,Q_A_topsis_0_1,0,mean
A1B,connection,Q_A_topsis_0_1,1,mean
A1B,connection,Q_A_topsis_0_1,2,mean
A1B,connection,Q_A_topsis_0_1,3,mean
A1B,connection,Q_A_topsis_0_1,4,affine
A1B,connection,quality_score_soft_proxy_0_1,0,mean
A1B,connection,quality_score_soft_proxy_0_1,1,mean
A1B,connection,quality_score_soft_proxy_0_1,2,mean
A1B,connection,quality_score_soft_proxy_0_1,3,mean
A1B,connection,quality_score_soft_proxy_0_1,4,affine
