task,branch,axis,model,fold,n,mae,rmse,r2,signed_error,spearman
A1B,connection,Q_A_topsis_0_1,affine,0,13,0.047926578538811916,0.057604707477950004,-1.699631351927596,0.025006677844719976,-0.22527472527472525
A1B,connection,Q_A_topsis_0_1,affine,1,13,0.049299636305355735,0.05545822269661229,-1.3218583613781685,0.0013564982777058464,-0.20329670329670327
A1B,connection,Q_A_topsis_0_1,affine,2,13,0.045577973874836294,0.05629303052119079,-0.7990909908308601,-0.016617314696203526,-0.17032967032967034
A1B,connection,Q_A_topsis_0_1,affine,3,13,0.04684166362804841,0.05513443472357412,-0.07828113776898582,0.007165288890701227,0.1758241758241758
A1B,connection,Q_A_topsis_0_1,affine,4,12,0.08475335423725998,0.12124359533034326,-1.2624996943319027,-0.0462375060493716,0.034965034965034975
A1B,connection,Q_A_topsis_0_1,mean,0,13,0.04833104002682752,0.058900508666677905,-1.822452246405104,0.02424779231880186,-0.23076923076923078
A1B,connection,Q_A_topsis_0_1,mean,1,13,0.05018875458231035,0.056649915519356664,-1.4227151864236012,-0.0013867227560334565,-0.20329670329670327
A1B,connection,Q_A_topsis_0_1,mean,2,13,0.046981376215386256,0.057776698365362304,-0.8951749662644437,-0.01873459289190495,-0.17032967032967034
A1B,connection,Q_A_topsis_0_1,mean,3,13,0.04757880408815369,0.05578802914933495,-0.10399776461247612,0.01015902196218709,0.12637362637362637
A1B,connection,Q_A_topsis_0_1,mean,4,12,0.0706980556725667,0.09248513596647388,-0.3164816052397892,-0.01517834229761513,-0.6293706293706295
A1B,connection,Q_A_topsis_0_1,offset,0,13,0.09085199163350878,0.11311284075910986,-9.40907963428954,0.052638850086791894,0.2582417582417582
A1B,connection,Q_A_topsis_0_1,offset,1,13,0.07885911494446009,0.09842763665840056,-6.313713493592383,0.07759115316266474,0.45604395604395603
A1B,connection,Q_A_topsis_0_1,offset,2,13,0.07485162052357285,0.08811309685319846,-3.4078296373136654,0.07338644668362752,0.39010989010989006
A1B,connection,Q_A_topsis_0_1,offset,3,13,0.10884324479840059,0.1338091260204479,-5.351226835262617,-0.054262099308977026,0.13736263736263735
A1B,connection,Q_A_topsis_0_1,offset,4,12,0.2295603418819938,0.3286470532472729,-15.623803691585444,-0.15868899753811316,0.22377622377622378
A1B,connection,Q_A_topsis_0_1,raw,0,13,3.2226115679136322,3.224166401390737,-8456.137816573964,3.2226115679136322,0.2582417582417582
A1B,connection,Q_A_topsis_0_1,raw,1,13,3.2424954344272177,3.2430609391268606,-7938.8819858878815,3.2424954344272177,0.45604395604395603
A1B,connection,Q_A_topsis_0_1,raw,2,13,3.2391448089517345,3.2395119139523447,-5957.034763965695,3.2391448089517345,0.39010989010989006
