task,branch,axis,model,n,mae,rmse,r2,signed_error,spearman,macro_fold_mae,macro_fold_rmse,worst_fold_mae
A1B,connection,Q_A_topsis_0_1,affine,64,0.054413067677481254,0.07291200566215411,-0.9705599016771647,-0.005234454976132084,-0.1053113553113553,0.05487984131686248,0.0691467981499341,0.08475335423725998
A1B,connection,Q_A_topsis_0_1,mean,64,0.052475255342743936,0.06534979741931489,-0.5829968204278655,5.580272903555478e-05,-0.30526556776556774,0.0527556061170489,0.06432005753344114,0.0706980556725667
A1B,connection,Q_A_topsis_0_1,offset,64,0.11482815214504961,0.17329859144955628,-10.132215808629967,0.0005834154321255405,0.3103021978021978,0.11659326275638722,0.1524219507076859,0.2295603418819938
A1B,connection,Q_A_topsis_0_1,raw,64,3.1806649842507193,3.1849314239616455,-3759.0335745012108,3.1806649842507193,0.32179487179487176,3.178681371781493,3.182363601348336,3.2424954344272177
A1B,connection,Q_A_topsis_0_1,selected,64,0.055110623823623923,0.07364147246355164,-1.0101870858011703,-0.005767790474418784,-0.13228021978021975,0.05556666582998756,0.07007174940621501,0.08475335423725998
A1B,connection,quality_score_soft_proxy_0_1,affine,64,0.041107932287717454,0.06335991769714386,-0.4880610876958036,-0.0046655063872250505,0.3204212454212454,0.04145402337354861,0.06046257410070777,0.06360385286674253
A1B,connection,quality_score_soft_proxy_0_1,mean,64,0.038354898988052104,0.053992680533678845,-0.08059095870244115,6.917453026907688e-05,0.3190018315018315,0.03851981573064765,0.053465606727289984,0.049074487256762854
A1B,connection,quality_score_soft_proxy_0_1,offset,64,0.11790658970639414,0.1742575396293974,-10.255756960008616,0.0006103910304537351,0.3964743589743589,0.11971702088827316,0.15323328549582152,0.23558461652853113
A1B,connection,quality_score_soft_proxy_0_1,raw,64,3.20351389955103,3.2077448537406044,-3813.0921809415354,3.20351389955103,0.38978937728937724,3.2014385700474883,3.2049870539210885,3.2828172898850734
A1B,connection,quality_score_soft_proxy_0_1,selected,64,0.04107915503992329,0.06329410751448945,-0.4849714778232044,-0.005284496813586573,0.3059523809523809,0.04142568885264359,0.06034193525379487,0.06360385286674253
A1B,full_mixture,none,affine,64,0.03998460858368316,0.0577584222063585,-0.2365799296466058,-0.00404035022912827,0.3114468864468864,0.04038251392933293,0.052970970011672294,0.06584845605091831
A1B,full_mixture,none,mean,64,0.039562533522883726,0.052105524261076286,-0.006373265477817469,2.257244631958394e-05,-0.060513823127972925,0.03985902377785711,0.04999613365187354,0.058834400096153816
A1B,full_mixture,none,offset,64,0.11347091814286406,0.1699369093999177,-9.704514689123524,0.0005667367699545012,0.35082417582417574,0.11523853853588228,0.14921292286625193,0.22836624368904934
A1B,full_mixture,none,raw,64,3.1902558877595077,3.1943385998606,-3781.2780311250367,3.1902558877595077,0.3684523809523809,3.1883289827416634,3.1918412159959955,3.255389181645458
A1B,full_mixture,none,selected,64,0.04087766901440207,0.05861929462489604,-0.2737163618584051,-0.004953901152961099,0.051646457796392764,0.04126183496881001,0.05420629973624658,0.06584845605091831
A60M,connection,Q_A_topsis_0_1,affine,256,0.1448019280579822,0.19095394805120514,0.2388922909329403,-0.0006407935094038895,0.5064631494621193,0.14485474879088972,0.19027802282413242,0.16093112775463156
A60M,connection,Q_A_topsis_0_1,mean,256,0.1658148355447388,0.2169121339199169,0.01789814699565717,-3.6209358802222896e-05,0.01228756580453193,0.16587494404604622,0.21559943039773044,0.1851014734686518
A60M,connection,Q_A_topsis_0_1,offset,256,0.15399894126459035,0.19796625418037014,0.18196635140903106,-3.69876396719912e-05,0.5389970531013961,0.1540327085177428,0.19738665220861643,0.17582746509616395
A60M,connection,Q_A_topsis_0_1,raw,256,1.5097929386310471,1.5226263171794074,-47.392214951734516,1.5097929386310471,0.5440997653925382,1.5099095919561665,1.5226022809361024,1.5417645902866433
A60M,connection,Q_A_topsis_0_1,selected,256,0.1448019280579822,0.19095394805120514,0.2388922909329403,-0.0006407935094038895,0.5064631494621193,0.14485474879088972,0.19027802282413242,0.16093112775463156
A60M,connection,quality_score_soft_proxy_0_1,affine,256,0.15341155176121601,0.19950794319263157,0.16917564427848875,-0.00044291527953614455,0.4561505779354543,0.1534321126483538,0.1987358640703598,0.1647312150334924
A60M,connection,quality_score_soft_proxy_0_1,mean,256,0.18201841858233772,0.23279975262707656,-0.13123768865355712,-1.706397106653393e-05,-0.041619943354448075,0.18204269853329005,0.23164121459203738,0.20425590505564672
A60M,connection,quality_score_soft_proxy_0_1,offset,256,0.15780046830368888,0.20357045864510745,0.1349955394258454,-2.1094832342302e-05,0.5069774261844815,0.15782896346315944,0.2028267281865443,0.17456702402539814
A60M,connection,quality_score_soft_proxy_0_1,raw,256,1.5038592339822423,1.5174765311169838,-47.06542680111296,1.5038592339822423,0.5103906786449989,1.5039257638380907,1.51739311022165,1.5277875869495308
A60M,connection,quality_score_soft_proxy_0_1,selected,256,0.15780046830368888,0.20357045864510745,0.1349955394258454,-2.1094832342302e-05,0.5069774261844815,0.15782896346315944,0.2028267281865443,0.17456702402539814
A60M,full_mixture,none,affine,256,0.14304562211705515,0.188923571444967,0.25499166647919447,-0.0005037935838292876,0.5510128175783932,0.14308055046549922,0.1883017362354949,0.1528495055874136
A60M,full_mixture,none,mean,256,0.16731001006600388,0.2197039486973735,-0.007545254273183755,-3.1508544080405265e-05,-0.1341662050965384,0.16733701823515418,0.21829367088410265,0.19122094922616015
A60M,full_mixture,none,offset,256,0.15083223779986143,0.1949823466480316,0.2064406325330993,-3.462824654446202e-05,0.5540484092469672,0.15086212992994397,0.1945160498950862,0.16099242855177015
A60M,full_mixture,none,raw,256,1.508086407922189,1.5205477772836873,-47.26018453323709,1.508086407922189,0.5584086747539482,1.5081956200843671,1.5205146971341008,1.5399927362843293
A60M,full_mixture,none,selected,256,0.14614210852112522,0.1933569955633775,0.21961553512160958,-0.0009138781627051288,0.5478663595788509,0.14618917995350683,0.19241605409512097,0.16099242855177015
B2,scale,none,affine,1029,0.2811842354670099,0.40647222027063906,0.3506945104511028,0.02833186083110002,0.7722649394707007,0.2811842354670099,0.40084911077788965,0.5281880445245665
B2,scale,none,mean,1029,0.372330653673844,0.5187138368567777,-0.05740899706912961,-4.143106330962683e-17,-0.5582370973801559,0.3723306536738439,0.5159987425666193,0.4527559805328025
B2,scale,none,offset,1029,0.2660227013060564,0.39564538191944215,0.38482378324341115,-1.242931899288805e-16,0.788303066079771,0.2660227013060564,0.39564393567156186,0.2672735953788847
B2,scale,none,raw,1029,1.17844181249242,1.2430848665789953,-5.072798817286311,-1.17844181249242,0.7881022686524627,1.17844181249242,1.2430844043051743,1.1803562682244204
B2,scale,none,selected,1029,0.2660227013060564,0.39564538191944215,0.38482378324341115,-1.242931899288805e-16,0.788303066079771,0.2660227013060564,0.39564393567156186,0.2672735953788847
