task,branch,axis,fold,n_calibration_groups,n_calibration_rows,repetition,calibration_groups,model,intercept,slope,n,mae,rmse,r2,signed_error,spearman
B2,scale,none,0,1,147,0,cerebras_0.256B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,1,147,0,cerebras_0.256B,offset,1.178743070680373,1.0,147,0.2652116484781412,0.3949423324117036,0.26890327342419795,-0.0003876784439128224,0.9973233092669779
B2,scale,none,0,1,147,0,cerebras_0.256B,affine,-13.266901472009264,6.892176947977323,147,1.0886995122583654,1.08876496365675,-4.556172745615157,1.0886995122583654,0.9973233092669779
B2,scale,none,0,1,147,0,cerebras_0.256B,mean,3.630408163265306,0.0,147,0.2809578925447731,0.49765229223465157,-0.16080557095401304,-0.1852238095238099,
B2,scale,none,0,1,147,1,cerebras_0.59B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,1,147,1,cerebras_0.59B,offset,1.1803562682244204,1.0,147,0.26579339532563473,0.3949440435470391,0.2688969382808116,0.001225519100134575,0.9973233092669779
B2,scale,none,0,1,147,1,cerebras_0.59B,affine,-12.482323817431876,6.907824000175832,147,1.9145306391038708,1.9145680961449472,-16.181026252016494,1.9145306391038708,0.9973233092669779
B2,scale,none,0,1,147,1,cerebras_0.59B,mean,3.4929979591836733,0.0,147,0.33059253088990714,0.5634204922498357,-0.4878965731693403,-0.3226340136054424,
B2,scale,none,0,1,147,2,cerebras_1.3B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,1,147,2,cerebras_1.3B,offset,1.178186999256919,1.0,147,0.26501872573939184,0.39494326972368177,0.26889980321360807,-0.0009437498673668255,0.9973233092669779
B2,scale,none,0,1,147,2,cerebras_1.3B,affine,-11.949319570661741,6.932303721077938,147,2.5120756999873803,2.512105407395692,-28.57897925418774,2.5120756999873803,0.9973233092669779
B2,scale,none,0,1,147,2,cerebras_1.3B,mean,3.3910721088435376,0.0,147,0.4245598639455781,0.6273763004970606,-0.844861144075056,-0.4245598639455781,
B2,scale,none,0,1,147,3,cerebras_13.0B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,1,147,3,cerebras_13.0B,offset,1.1767981490366177,1.0,147,0.26453687974459345,0.3949490304575892,0.26887847506482077,-0.0023326000876681017,0.9973233092669779
B2,scale,none,0,1,147,3,cerebras_13.0B,affine,-10.813624346848698,6.885988677999565,147,3.525661256050203,3.525681502547339,-57.26310428702167,3.525661256050203,0.9973233092669779
B2,scale,none,0,1,147,3,cerebras_13.0B,mean,3.213910884353741,0.0,147,0.6017210884353744,0.7585632555164679,-1.6970628671487797,-0.6017210884353744,
B2,scale,none,0,1,147,4,cerebras_2.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,1,147,4,cerebras_2.7B,offset,1.1780406933479386,1.0,147,0.2649679665464803,0.3949436464330276,0.26889840852009483,-0.0010900557763472317,0.9973233092669779
B2,scale,none,0,1,147,4,cerebras_2.7B,affine,-11.450558234467769,6.896670426849447,147,2.916889812344726,2.916914248229921,-38.879966959322694,2.916889812344726,0.9973233092669779
B2,scale,none,0,1,147,4,cerebras_2.7B,mean,3.3196897959183675,0.0,147,0.49594217687074815,0.6777230903187428,-1.1528413731086924,-0.49594217687074815,
B2,scale,none,0,1,147,5,cerebras_6.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,1,147,5,cerebras_6.7B,offset,1.1778367577763875,1.0,147,0.2648972133890034,0.3949442619532903,0.268896129672475,-0.0012939913478982696,0.9973233092669779
B2,scale,none,0,1,147,5,cerebras_6.7B,affine,-11.109548534172474,6.922996622167076,147,3.327308558809389,3.327330559368863,-50.89187503630026,3.327308558809389,0.9973233092669779
B2,scale,none,0,1,147,5,cerebras_6.7B,mean,3.2523585034013602,0.0,147,0.5632734693877555,0.7284414497185131,-1.487120150323617,-0.5632734693877555,
B2,scale,none,0,2,294,0,cerebras_0.256B;cerebras_0.59B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,0,cerebras_0.256B;cerebras_0.59B,offset,1.1795496694523966,1.0,147,0.2654961730068607,0.3949423643146706,0.2689031553099632,0.00041892032811076743,0.9973233092669779
B2,scale,none,0,2,294,0,cerebras_0.256B;cerebras_0.59B,affine,-5.573100820229055,3.834683321823422,147,0.7301368957009221,0.750040378613285,-1.636797357783681,0.7214144773363969,0.9973233092669779
B2,scale,none,0,2,294,0,cerebras_0.256B;cerebras_0.59B,mean,3.5617030612244895,0.0,147,0.29589961821463295,0.5270956616026033,-0.3022259617843879,-0.25392891156462616,
B2,scale,none,0,2,294,1,cerebras_0.256B;cerebras_1.3B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,1,cerebras_0.256B;cerebras_1.3B,offset,1.1784650349686459,1.0,147,0.26511518710876647,0.3949427032008032,0.26890190065251995,-0.0006657141556399448,0.9973233092669779
B2,scale,none,0,2,294,1,cerebras_0.256B;cerebras_1.3B,affine,-2.126835034454864,2.4171999126023977,147,0.4913254604773755,0.5247468789696444,-0.2906461626922978,0.43048352017476166,0.9973233092669779
B2,scale,none,0,2,294,1,cerebras_0.256B;cerebras_1.3B,mean,3.5107401360544217,0.0,147,0.31920427136841134,0.5534518736614283,-0.43571153669547025,-0.30489183673469394,
B2,scale,none,0,2,294,2,cerebras_0.256B;cerebras_13.0B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,2,cerebras_0.256B;cerebras_13.0B,offset,1.1777706098584952,1.0,147,0.26487426411136733,0.39494448421903944,0.26889530677460904,-0.001360139265790583,0.9973233092669779
B2,scale,none,0,2,294,2,cerebras_0.256B;cerebras_13.0B,affine,-0.08152863440564051,1.5610878027584185,147,0.3575140224993941,0.41895906771896696,0.17728265194932702,0.21864929502605482,0.9973233092669779
B2,scale,none,0,2,294,2,cerebras_0.256B;cerebras_13.0B,mean,3.422159523809524,0.0,147,0.39347244897959177,0.6067705599795428,-0.7256649097158556,-0.39347244897959177,
B2,scale,none,0,2,294,3,cerebras_0.256B;cerebras_2.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,3,cerebras_0.256B;cerebras_2.7B,offset,1.178391882014156,1.0,147,0.26508980751231076,0.3949428332820171,0.2689014190528187,-0.0007388671101299182,0.9973233092669779
B2,scale,none,0,2,294,3,cerebras_0.256B;cerebras_2.7B,affine,-0.9560780910129387,1.929381219024099,147,0.41294971360334065,0.4582541885171822,0.015716165610143773,0.31510588107092385,0.9973233092669779
B2,scale,none,0,2,294,3,cerebras_0.256B;cerebras_2.7B,mean,3.4750489795918367,0.0,147,0.34414675829515484,0.5738873753682932,-0.5436925498508571,-0.34058299319727897,
B2,scale,none,0,2,294,4,cerebras_0.256B;cerebras_6.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,4,cerebras_0.256B;cerebras_6.7B,offset,1.17828991422838,1.0,147,0.2650544309335722,0.3949430372085864,0.268900664055126,-0.0008408348959057755,0.9973233092669779
B2,scale,none,0,2,294,4,cerebras_0.256B;cerebras_6.7B,affine,-0.3244078131995094,1.664001633667514,147,0.3730750039213738,0.42883799814578233,0.13802635753041603,0.24710255735605174,0.9973233092669779
B2,scale,none,0,2,294,4,cerebras_0.256B;cerebras_6.7B,mean,3.441383333333333,0.0,147,0.3744157596371885,0.5944846410853646,-0.6564897148671947,-0.37424863945578263,
B2,scale,none,0,2,294,5,cerebras_0.59B;cerebras_1.3B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,5,cerebras_0.59B;cerebras_1.3B,offset,1.1792716337406697,1.0,147,0.265395928838687,0.39494216726591236,0.26890388484268757,0.00014088461638386254,0.9973233092669779
B2,scale,none,0,2,294,5,cerebras_0.59B;cerebras_1.3B,affine,-7.455634264946486,4.816088724806848,147,1.4263575784960432,1.4331788486698085,-8.627382929553214,1.4263575784960432,0.9973233092669779
B2,scale,none,0,2,294,5,cerebras_0.59B;cerebras_1.3B,mean,3.4420350340136054,0.0,147,0.37377292563283815,0.5940745887633326,-0.6542053389628442,-0.3735969387755102,
B2,scale,none,0,2,294,6,cerebras_0.59B;cerebras_13.0B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,6,cerebras_0.59B;cerebras_13.0B,offset,1.178577208630519,1.0,147,0.26515410450166127,0.3949425300512709,0.2689025417038179,-0.0005535404937667514,0.9973233092669779
B2,scale,none,0,2,294,6,cerebras_0.59B;cerebras_13.0B,affine,-1.29627798954612,2.137928699250844,147,0.5797310303246744,0.6139743473463614,-0.7668835131151523,0.5247416693477723,0.9973233092669779
B2,scale,none,0,2,294,6,cerebras_0.59B;cerebras_13.0B,mean,3.3534544217687077,0.0,147,0.462177551020408,0.6534202575824476,-1.0012099572658224,-0.462177551020408,
B2,scale,none,0,2,294,7,cerebras_0.59B;cerebras_2.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,7,cerebras_0.59B;cerebras_2.7B,offset,1.1791984807861795,1.0,147,0.2653696479026047,0.3949421479454919,0.268903956372573,6.773166189367159e-05,0.9973233092669779
B2,scale,none,0,2,294,7,cerebras_0.59B;cerebras_2.7B,affine,-3.8391642934907577,3.253271286897851,147,0.9307914206860972,0.9542141258790594,-3.2677517483921,0.9224574625399671,0.9973233092669779
B2,scale,none,0,2,294,7,cerebras_0.59B;cerebras_2.7B,mean,3.4063438775510204,0.0,147,0.40928809523809523,0.6171439777357619,-0.7851736048608153,-0.40928809523809523,
