task,branch,axis,n_calibration_groups,model,evaluations,mae_mean,mae_median,mae_min,mae_max,rmse_mean
A60M,full_mixture,none,8,affine,25,0.16244521348780616,0.15688872183979516,0.12783680429335167,0.29918026070915354,0.21345504516272648
A60M,full_mixture,none,8,mean,25,0.1741185664564582,0.16914103352106538,0.1505021636302655,0.2201743889628132,0.22702044154817558
A60M,full_mixture,none,8,offset,25,0.15981680510697466,0.15620588327901339,0.14054752886555208,0.20995169678315362,0.20489977581961316
A60M,full_mixture,none,8,raw,25,1.5081956200843671,1.5082081160865572,1.4802373065667862,1.5399927362843293,1.5205146971341008
A60M,full_mixture,none,16,affine,25,0.14759090429027732,0.14521391769791098,0.13231238209016893,0.18453951389714768,0.1922810970225419
A60M,full_mixture,none,16,mean,25,0.17279154794041054,0.1716740901159125,0.15265286513807902,0.20997925861253988,0.22214230229088028
A60M,full_mixture,none,16,offset,25,0.15408283553274782,0.15339336655942926,0.14002304448783948,0.18755694411368012,0.19857737266230782
A60M,full_mixture,none,16,raw,25,1.5081956200843671,1.5082081160865572,1.4802373065667862,1.5399927362843293,1.5205146971341008
A60M,full_mixture,none,32,affine,25,0.14631865782932463,0.14719793150290206,0.1301304984328019,0.16605388372334123,0.1943321050488239
A60M,full_mixture,none,32,mean,25,0.16831276404110246,0.16773486221672723,0.15238726550367632,0.19824646893737005,0.219794851929191
A60M,full_mixture,none,32,offset,25,0.15145581656196982,0.15413238548459626,0.13968098167130974,0.16193371116954786,0.1954333115762164
A60M,full_mixture,none,32,raw,25,1.5081956200843671,1.5082081160865572,1.4802373065667862,1.5399927362843293,1.5205146971341008
B2,scale,none,1,affine,42,1.5298078879658208,1.4053145287780109,0.21915040238739925,3.530180887977849,1.529870741811805
B2,scale,none,1,mean,42,0.40192481858308604,0.3743696793002915,0.2805799389143412,0.7042532833541584,0.5485499553224849
B2,scale,none,1,offset,42,0.2660232565403005,0.26597244643602963,0.26453687974459345,0.2679485294166336,0.39564525609082
B2,scale,none,1,raw,42,1.1784418124924203,1.178186999256919,1.1767981490366177,1.1803562682244204,1.2430844043051743
B2,scale,none,2,affine,105,0.5630160537105626,0.3575140224993941,0.09162584597941921,3.1799777623007137,0.6397035999400172
B2,scale,none,2,mean,105,0.38472643497308223,0.3655012471655327,0.28051104400944044,0.6288860405386646,0.5293250887451474
B2,scale,none,2,offset,105,0.2660227545010855,0.2660726906042034,0.26471704656679834,0.2677276025040243,0.3956444638410754
B2,scale,none,2,raw,105,1.1784418124924203,1.178186999256919,1.1767981490366177,1.1803562682244204,1.243084404305174
B2,scale,none,4,affine,105,0.32229050654239566,0.2406558010965765,0.18461506231652736,1.5349515612854245,0.4354315346891613
B2,scale,none,4,mean,105,0.37539950891273266,0.37409434263501334,0.2805372078763478,0.5217860405386648,0.5193789636573115
B2,scale,none,4,offset,105,0.2660227013060564,0.2661208218468961,0.2648551963548673,0.26748394191562125,0.3956440677141233
B2,scale,none,4,raw,105,1.1784418124924203,1.178186999256919,1.1767981490366177,1.1803562682244204,1.243084404305174
