task,branch,axis,outer_fold,source_id,group,role,inner_fold
B2,scale,none,0,B2_row_147,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_148,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_149,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_150,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_151,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_152,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_153,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_154,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_155,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_156,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_157,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_158,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_159,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_160,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_161,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_162,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_163,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_164,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_165,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_166,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_167,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_168,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_169,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_170,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_171,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_172,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_173,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_174,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_175,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_176,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_177,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_178,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_179,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_180,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_181,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_182,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_183,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_184,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_185,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_186,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_187,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_188,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_189,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_190,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_191,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_192,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_193,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_194,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_195,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_196,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_197,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_198,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_199,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_200,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_201,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_202,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_203,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_204,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_205,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_206,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_207,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_208,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_209,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_210,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_211,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_212,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_213,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_214,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_215,cerebras_0.256B,calibration,0
B2,scale,none,0,B2_row_216,cerebras_0.256B,calibration,0
