Q0,cost_family,Lctx,budget_flops,feasible_grid_points,frontier_points,best_N_B,best_D_B,best_Q,best_loss,best_total_cost_flops,best_quality_cost_flops,best_base_train_attn_cost_flops,Q_on_lower_bound,Q_on_upper_bound
0.1,exponential,2048,1e+19,1332,129,0.3058062134494701,3.6539259348445197,0.7000000000000001,3.262556785558509,9.532134076632895e+18,2.370090273489489e+18,7.162043803143408e+18,False,False
0.1,exponential,2048,1e+22,4199,229,8.292643830847549,172.85840650016289,1.0,2.0952933966568046,9.882072517926676e+21,6.942108982714797e+20,9.187861619655196e+21,False,True
0.1,exponential,2048,1e+24,4275,234,11.965825,299.893,1.0,2.0219298975598545,2.420502939267967e+22,1.2043903049351129e+21,2.3000639087744557e+22,False,True
0.1,exponential,4096,1e+19,1323,131,0.3058062134494701,3.6539259348445197,0.7000000000000001,3.262556785558509,9.989818353618596e+18,2.370090273489489e+18,7.619728080129107e+18,False,False
0.1,exponential,4096,1e+22,4195,229,11.965825,99.63563236812982,1.0,2.1178869562689053,8.530147299376782e+21,4.001433499623355e+20,8.130003949414447e+21,False,True
0.1,exponential,4096,1e+24,4275,236,11.965825,299.893,1.0,2.0219298975598545,2.567486554007423e+22,1.2043903049351129e+21,2.447047523513912e+22,False,True
0.1,exponential,8192,1e+19,1255,129,0.3058062134494701,3.6539259348445197,0.6,3.2987815290590548,9.805790142722107e+18,1.2706935086216026e+18,8.535096634100506e+18,False,False
0.1,exponential,8192,1e+22,4178,230,11.965825,99.63563236812982,1.0,2.1178869562689053,9.506816004702966e+21,4.001433499623355e+20,9.10667265474063e+21,False,True
0.1,exponential,8192,1e+24,4275,237,11.965825,299.893,1.0,2.0219298975598545,2.8614537834863348e+22,1.2043903049351129e+21,2.7410147529928236e+22,False,True
0.1,exponential,32768,1e+19,1069,124,0.3058062134494701,2.1061238994135967,0.75,3.3983447564805522,9.942840346070686e+18,1.8574962363560745e+18,8.085344109714611e+18,False,False
0.1,exponential,32768,1e+22,4085,230,3.982848110223703,172.85840650016289,1.0,2.1632727580613644,9.336972545572527e+21,6.942108982714797e+20,8.642761647301048e+21,False,True
0.1,exponential,32768,1e+24,4275,241,11.965825,299.893,1.0,2.0219298975598545,4.625257160359807e+22,1.2043903049351129e+21,4.504818129866295e+22,False,True
0.1,exponential,131072,1e+19,703,103,0.21193206564500142,1.2139703865863611,0.8,3.6410862728247206,9.741077227361335e+18,1.4529805026497252e+18,8.28809672471161e+18,False,False
0.1,exponential,131072,1e+22,3875,213,2.7602226182022083,99.63563236812982,1.0,2.254558073510372,9.259635726470153e+21,4.001433499623355e+20,8.859492376507817e+21,False,True
0.1,exponential,131072,1e+24,4275,233,11.965825,299.893,1.0,2.0219298975598545,1.1680470667853694e+23,1.2043903049351129e+21,1.1560031637360182e+23,False,True
0.1,power,2048,1e+19,1298,123,0.3058062134494701,3.6539259348445197,0.6,3.2987815290590548,9.527960845955234e+18,2.3659170428118267e+18,7.162043803143408e+18,False,False
0.1,power,2048,1e+22,4198,230,8.292643830847549,172.85840650016289,0.9500000000000001,2.1134057684070773,9.891746452749062e+21,7.038848330938665e+20,9.187861619655196e+21,False,False
0.1,power,2048,1e+24,4275,236,11.965825,299.893,1.0,2.0219298975598545,2.4499954141244556e+22,1.4993150535e+21,2.3000639087744557e+22,False,True
0.1,power,4096,1e+19,1286,122,0.3058062134494701,3.6539259348445197,0.6,3.2987815290590548,9.985645122940934e+18,2.3659170428118267e+18,7.619728080129107e+18,False,False
0.1,power,4096,1e+22,4193,227,11.965825,99.63563236812982,1.0,2.1178869562689053,8.628132293438912e+21,4.98128344024465e+20,8.130003949414447e+21,False,True
0.1,power,4096,1e+24,4275,234,11.965825,299.893,1.0,2.0219298975598545,2.5969790288639117e+22,1.4993150535e+21,2.447047523513912e+22,False,True
0.1,power,8192,1e+19,1222,120,0.3058062134494701,3.6539259348445197,0.5,3.3350062725596006,9.675121525771995e+18,1.1400248916714902e+18,8.535096634100506e+18,False,False
0.1,power,8192,1e+22,4177,223,11.965825,99.63563236812982,1.0,2.1178869562689053,9.604800998765094e+21,4.98128344024465e+20,9.10667265474063e+21,False,True
0.1,power,8192,1e+24,4275,230,11.965825,299.893,1.0,2.0219298975598545,2.8909462583428235e+22,1.4993150535e+21,2.7410147529928236e+22,False,True
0.1,power,32768,1e+19,1046,115,0.3058062134494701,2.1061238994135967,0.65,3.434569499981098,9.964072444363397e+18,1.8787283346487852e+18,8.085344109714611e+18,False,False
0.1,power,32768,1e+22,4085,224,3.982848110223703,172.85840650016289,1.0,2.1632727580613644,9.506967250598613e+21,8.642056032975643e+20,8.642761647301048e+21,False,True
0.1,power,32768,1e+24,4275,235,11.965825,299.893,1.0,2.0219298975598545,4.654749635216296e+22,1.4993150535e+21,4.504818129866295e+22,False,True
0.1,power,131072,1e+19,690,100,0.21193206564500142,1.2139703865863611,0.7000000000000001,3.6773110163252665,9.744861188615244e+18,1.456764463903634e+18,8.28809672471161e+18,False,False
0.1,power,131072,1e+22,3874,214,2.7602226182022083,99.63563236812982,1.0,2.254558073510372,9.357620720532282e+21,4.98128344024465e+20,8.859492376507817e+21,False,True
0.1,power,131072,1e+24,4275,234,11.965825,299.893,1.0,2.0219298975598545,1.1709963142710181e+23,1.4993150535e+21,1.1560031637360182e+23,False,True
0.1,logarithmic,2048,1e+19,1183,37,0.6367157218190183,1.2139703865863611,1.0,3.348491760834686,9.093353557989708e+18,4.139027401134086e+18,4.954326156855622e+18,False,True
