axis,cost,budget,context,dense_grid_difference,full_NDQ_difference,constraint_slack
Q_A_topsis_0_1,exponential,1e+19,2048,0.0,7.787548383930698e-12,0.0
Q_A_topsis_0_1,exponential,1e+22,32768,0.0,1.2247980407664727e-12,0.0
Q_A_topsis_0_1,exponential,1e+24,131072,0.0,5.240252676230739e-14,3.3306690738754696e-16
Q_A_topsis_0_1,power,1e+19,2048,0.0,5.540146119642486e-11,-2.220446049250313e-16
Q_A_topsis_0_1,power,1e+22,32768,0.0,2.27018404075352e-12,3.3306690738754696e-16
Q_A_topsis_0_1,power,1e+24,131072,0.0,9.814371537686384e-14,1.1102230246251565e-16
Q_A_topsis_0_1,logarithmic,1e+19,2048,0.0,7.864375817234759e-12,5.551115123125783e-16
Q_A_topsis_0_1,logarithmic,1e+22,32768,0.0,1.1577405700791132e-12,-1.1102230246251565e-15
Q_A_topsis_0_1,logarithmic,1e+24,131072,0.0,4.951594689828198e-14,3.3306690738754696e-16
quality_score_soft_proxy_0_1,exponential,1e+19,2048,0.0,1.2746248501116497e-11,2.220446049250313e-16
quality_score_soft_proxy_0_1,exponential,1e+22,32768,0.0,1.3367085216486885e-13,3.3306690738754696e-16
quality_score_soft_proxy_0_1,exponential,1e+24,131072,0.0,5.773159728050814e-15,0.0
quality_score_soft_proxy_0_1,power,1e+19,2048,0.0,2.552551059409325e-09,0.0
quality_score_soft_proxy_0_1,power,1e+22,32768,0.0,2.7489122089718876e-13,-4.440892098500626e-16
quality_score_soft_proxy_0_1,power,1e+24,131072,0.0,1.176836406102666e-14,0.0
quality_score_soft_proxy_0_1,logarithmic,1e+19,2048,0.0,2.2900663587677172e-09,2.220446049250313e-16
quality_score_soft_proxy_0_1,logarithmic,1e+22,32768,0.0,3.566036355096003e-13,-4.440892098500626e-16
quality_score_soft_proxy_0_1,logarithmic,1e+24,131072,0.0,1.5765166949677223e-14,3.3306690738754696e-16
