budget_flops,Lctx,eta,K_product_B2,relaxed_N_B,relaxed_D_B,relaxed_loss,relaxed_within_B1_support,bounded_N_B,bounded_D_B,bounded_loss,bounded_cost_flops,budget_slack_flops,bounded_support_status,n_starts,successful_starts,unique_objectives
1e+19,2048,0.0002,1.5601597603594608,0.2213087272165201,7.049698310510184,2.998934933221866,True,0.22130873517834196,7.049698056902854,2.9989349332214896,1.0000000000018747e+19,-18747392.0,inside_B1_support,6,6,2
1e+22,2048,0.0002,1560.1597603594607,5.006854557836051,311.6047694890018,2.1431796460994392,False,5.202388052937296,299.89299999999986,2.143211279481731,1.0000000000000403e+22,-402653184.0,inside_B1_support,6,5,1
1e+24,2048,0.0002,156015.97603594608,40.050622093387474,3895.4694804030264,1.9133865675169903,False,11.965825000000002,299.89299999999986,2.0933794714941443,2.3000639087744553e+22,9.769993609122555e+23,bounded_to_B1_support,6,6,1
1e+19,4096,0.0002,1.4664476771468793,0.21520455819923187,6.8142036089647915,3.01144294009333,True,0.21520455819923187,6.8142036089647915,3.01144294009333,1e+19,0.0,inside_B1_support,6,6,1
1e+22,4096,0.0002,1466.4476771468794,4.8687547781734555,301.19563296162283,2.1475114346040756,False,4.889902989439242,299.89299999999986,2.1475118436476213,1.0000000000443403e+22,-443402944512.0,inside_B1_support,6,5,2
1e+24,4096,0.0002,146644.76771468794,38.94594009742449,3765.3415824050326,1.9155228237030433,False,11.965825000000002,299.89299999999986,2.0933794714941443,2.4470475235139114e+22,9.755295247648608e+23,bounded_to_B1_support,6,6,1
1e+19,8192,0.0002,1.3091746962714705,0.20445862465940728,6.4031277646141325,3.0346606413122403,True,0.20445862465940728,6.4031277646141325,3.0346606413122403,1e+19,0.0,inside_B1_support,6,6,1
1e+22,8192,0.0002,1309.1746962714706,4.625640432893095,283.02560807837165,2.1555522177822177,True,4.625640432893095,283.02560807837153,2.1555522177822177,9.999999999999996e+21,4194304.0,inside_B1_support,6,6,1
1e+24,8192,0.0002,130917.46962714705,37.00122996937289,3538.192371862007,1.9194882003105653,False,11.965825000000002,299.89299999999986,2.0933794714941443,2.741014752992823e+22,9.725898524700717e+23,bounded_to_B1_support,6,6,1
1e+19,32768,0.0002,0.7965842467499362,0.1633737801822533,4.8758389862883655,3.1412393940549226,True,0.163373775717011,4.875839119553161,3.1412393940548746,1.0000000000002138e+19,-2138112.0,inside_B1_support,6,6,1
1e+22,32768,0.0002,796.5842467499363,3.6961432394671485,215.51768834174706,2.1924627040582125,True,3.6961432394671485,215.51768834174703,2.1924627040582125,9.999999999999998e+21,2097152.0,inside_B1_support,6,6,1
1e+24,32768,0.0002,79658.42467499363,29.566034798284036,2694.2545802461436,1.9376909021629136,False,11.965825000000002,299.89299999999986,2.0933794714941443,4.5048181298662946e+22,9.54951818701337e+23,bounded_to_B1_support,6,6,1
1e+19,131072,0.0002,0.310420184762094,0.10675361230636882,2.907819024158442,3.367161233234241,True,0.1067536209178956,2.907818789592613,3.3671612332342336,1.0000000000000315e+19,-315392.0,inside_B1_support,6,6,1
1e+22,131072,0.0002,310.420184762094,2.415177282270803,128.52894362695812,2.270704236538976,True,2.4151771495030077,128.5289506925674,2.2707042365389203,1.0000000000006237e+22,-6236930048.0,inside_B1_support,6,5,1
1e+24,131072,0.0002,31042.0184762094,19.319385355297538,1606.7808527716652,1.9762763403922763,False,11.965825000000002,299.89299999999986,2.0933794714941443,1.156003163736018e+23,8.843996836263981e+23,bounded_to_B1_support,6,6,1
