fold,cost_family,Lctx,budget_flops,loss,total_cost_flops,Q,pareto_flag
fold_1,exponential,2048,1e+19,3.2537082784514966,1.000000000000167e+19,0.6793166066746612,True
fold_1,exponential,2048,1e+22,2.0571386086460675,1.000000000000832e+22,0.9999999999999998,True
fold_1,exponential,2048,1e+24,1.985393742544411,2.4205029392679665e+22,1.0,True
fold_1,exponential,4096,1e+19,3.268397406708312,1.0000000000005683e+19,0.6829434758950393,True
fold_1,exponential,4096,1e+22,2.062272623846694,1.000000000003979e+22,1.0,True
fold_1,exponential,4096,1e+24,1.985393742544411,2.5674865540074226e+22,1.0,True
fold_1,exponential,8192,1e+19,3.295699035285438,1.000000000000459e+19,0.6895928980043452,True
fold_1,exponential,8192,1e+22,2.0718168182203924,1.0000000000007114e+22,0.9999999999999996,True
fold_1,exponential,8192,1e+24,1.985393742544411,2.8614537834863343e+22,1.0,True
fold_1,exponential,32768,1e+19,3.421584840687171,1.0000000000002157e+19,0.7188229522357219,True
fold_1,exponential,32768,1e+22,2.1158438529944896,1.0000000000004526e+22,0.9999999999999993,True
fold_1,exponential,32768,1e+24,1.985393742544411,4.625257160359806e+22,1.0,True
fold_1,exponential,131072,1e+19,3.6911441230466986,1.0000000000014156e+19,0.7747529768890233,True
fold_1,exponential,131072,1e+22,2.2100976105334205,1.0000000000003364e+22,0.9999999999999996,True
fold_1,exponential,131072,1e+24,1.985393742544411,1.1680470667853692e+23,1.0,True
fold_1,logarithmic,2048,1e+19,3.327022745412924,1.0000000000004456e+19,0.9999999999999999,True
fold_1,logarithmic,2048,1e+22,2.0562940007168016,1.0000000000048918e+22,1.0,True
fold_1,logarithmic,2048,1e+24,1.985393742544411,2.402312312699587e+22,1.0,True
fold_1,logarithmic,4096,1e+19,3.339693149321609,1.000000000000642e+19,1.0,True
fold_1,logarithmic,4096,1e+22,2.0614458466039043,1.0000000000005629e+22,1.0,True
fold_1,logarithmic,4096,1e+24,1.985393742544411,2.549295927439043e+22,1.0,True
fold_1,logarithmic,8192,1e+19,3.363349326033399,1.0000000000008909e+19,0.9999999999999999,True
fold_1,logarithmic,8192,1e+22,2.071021884038109,1.0000000000008074e+22,1.0,True
fold_1,logarithmic,8192,1e+24,1.985393742544411,2.8432631569179547e+22,1.0,True
fold_1,logarithmic,32768,1e+19,3.4741102096810845,1.0000000000013066e+19,1.0,True
fold_1,logarithmic,32768,1e+22,2.115176402096945,1.0000000000005113e+22,0.9999999999999998,True
fold_1,logarithmic,32768,1e+24,1.985393742544411,4.607066533791426e+22,1.0,True
fold_1,logarithmic,131072,1e+19,3.71922126544292,1.0000000000010473e+19,1.0,True
fold_1,logarithmic,131072,1e+22,2.209623362787859,1.0000000000001682e+22,0.9999999999999983,True
fold_1,logarithmic,131072,1e+24,1.985393742544411,1.1662280041285311e+23,1.0,True
fold_1,power,2048,1e+19,3.2808238725575287,1.000000000000748e+19,0.5542666972093431,True
fold_1,power,2048,1e+22,2.058484333156631,1.000000000000514e+22,1.0,True
fold_1,power,2048,1e+24,1.985393742544411,2.4499954141244552e+22,1.0,True
fold_1,power,4096,1e+19,3.295651272284556,1.000000000000625e+19,0.5586611458328476,True
fold_1,power,4096,1e+22,2.06359056496915,1.0000000000001623e+22,0.9999999999999998,True
fold_1,power,4096,1e+24,1.985393742544411,2.5969790288639113e+22,1.0,True
fold_1,power,8192,1e+19,3.323190470527293,1.000000000000467e+19,0.566799799253067,True
fold_1,power,8192,1e+22,2.073085069347307,1.000000000000546e+22,1.0,True
fold_1,power,8192,1e+24,1.985393742544411,2.890946258342823e+22,1.0,True
fold_1,power,32768,1e+19,3.4498672777665855,1.000000000000823e+19,0.6038665313321647,True
fold_1,power,32768,1e+22,2.1169122399586464,1.0000000000008349e+22,1.0,True
fold_1,power,32768,1e+24,1.985393742544411,4.654749635216294e+22,1.0,True
fold_1,power,131072,1e+19,3.7196973487321907,1.0000000000004792e+19,0.6809933640497935,True
fold_1,power,131072,1e+22,2.2108603149246018,1.0000000000005329e+22,1.0,True
fold_1,power,131072,1e+24,1.985393742544411,1.170996314271018e+23,1.0,True
fold_2,exponential,2048,1e+19,3.300279656592809,1.00000000000022e+19,0.7311387790433576,True
fold_2,exponential,2048,1e+22,2.0606256715146616,1.0000000000001904e+22,1.0,True
fold_2,exponential,2048,1e+24,1.9844448445564633,2.4205029392679665e+22,0.9999999999999997,True
fold_2,exponential,4096,1e+19,3.315414694799042,1.0000000000006294e+19,0.7351119981336754,True
fold_2,exponential,4096,1e+22,2.066153735842192,1.0000000000005413e+22,1.0,True
fold_2,exponential,4096,1e+24,1.9844448445564633,2.5674865540074226e+22,0.9999999999999997,True
fold_2,exponential,8192,1e+19,3.3435329243418894,1.0000000000000942e+19,0.7423958457801082,True
fold_2,exponential,8192,1e+22,2.076425821140628,1.000000000000093e+22,1.0,True
fold_2,exponential,8192,1e+24,1.9844448445564633,2.8614537834863343e+22,0.9999999999999997,True
fold_2,exponential,32768,1e+19,3.4729862897871175,1.000000000000755e+19,0.7744095012484536,True
fold_2,exponential,32768,1e+22,2.123733710631554,1.0000000000028882e+22,1.0,True
fold_2,exponential,32768,1e+24,1.9844448445564633,4.625257160359805e+22,0.9999999999999997,True
fold_2,exponential,131072,1e+19,3.7491793576004815,1.0000000000001909e+19,0.8356392909071192,True
