success,message,N_B,D_B,Q,loss,total_cost_flops,budget_slack_flops,base_train_attn_cost_flops,quality_cost_flops,budget_flops,Lctx,cost_family,Q0,support_status,n_starts,successful_starts,unique_objectives,selected_from_successful_start,N_at_bound,D_at_bound,Q_at_bound,fold
True,Optimization terminated successfully,0.4624141190922907,2.829092136747428,0.6793166066746612,3.2537082784514966,1.000000000000167e+19,-1669120.0,8.385116585391078e+18,1.6148834146105902e+18,1e+19,2048,exponential,0.1,inside_B1_B6_support,6,6,2,True,False,False,False,fold_1
True,Optimization terminated successfully,9.299854744515544,157.1723667283626,0.9999999999999998,2.0571386086460675,1.000000000000832e+22,-8319401984.0,9.368785284455286e+21,6.312147155530328e+20,1e+22,2048,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,2.4205029392679665e+22,9.757949706073203e+23,2.3000639087744553e+22,1.2043903049351123e+21,1e+24,2048,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.4488555795187091,2.743779409917736,0.6829434758950393,3.268397406708312,1.0000000000005683e+19,-5683200.0,8.398258705733379e+18,1.601741294272305e+18,1e+19,4096,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_1
True,Optimization terminated successfully,9.023085839412072,152.5639274944336,1.0,2.062272623846694,1.000000000003979e+22,-39789264896.0,9.387293084049355e+21,6.127069159904345e+20,1e+22,4096,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,2.5674865540074226e+22,9.743251344599258e+23,2.4470475235139114e+22,1.2043903049351123e+21,1e+24,4096,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.4250609438329027,2.593993091545359,0.6895928980043452,3.295699035285438,1.000000000000459e+19,-4589568.0,8.422139191419747e+18,1.5778608085848415e+18,1e+19,8192,exponential,0.1,inside_B1_B6_support,6,6,2,True,False,False,False,fold_1
True,Optimization terminated successfully,8.5387204586296,144.42888170689324,0.9999999999999996,2.0718168182203924,1.0000000000007114e+22,-7113539584.0,9.419963970888721e+21,5.8003602911839243e+20,1e+22,8192,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,2.8614537834863343e+22,9.713854621651366e+23,2.741014752992823e+22,1.2043903049351123e+21,1e+24,8192,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.3350160107129329,2.0267405073946496,0.7188229522357219,3.421584840687171,1.0000000000002157e+19,-2156544.0,8.523775386067981e+18,1.4762246139341752e+18,1e+19,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_1
True,Optimization terminated successfully,6.720512076828854,113.14433088589139,0.9999999999999993,2.1158438529944896,1.0000000000004526e+22,-4525654016.0,9.545604815130796e+21,4.5439518487373015e+20,1e+22,32768,exponential,0.1,inside_B1_B6_support,6,6,2,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,4.625257160359806e+22,9.537474283964019e+23,4.5048181298662946e+22,1.2043903049351123e+21,1e+24,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
