success,message,N_B,D_B,Q,loss,total_cost_flops,budget_slack_flops,base_train_attn_cost_flops,quality_cost_flops,budget_flops,Lctx,cost_family,Q0,support_status,n_starts,successful_starts,unique_objectives,selected_from_successful_start,N_at_bound,D_at_bound,Q_at_bound
True,Optimization terminated successfully,0.34607692018417735,3.495587976129411,0.6984664932061039,3.249108312722755,1.0000000000007492e+19,-7491584.0,7.753964380756645e+18,2.2460356192508467e+18,1e+19,2048,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.833841360835802,164.914569388186,1.0,2.09416624664633,1.0000000000007139e+22,-7138705408.0,9.337692081804045e+21,6.62307918203093e+20,1e+22,2048,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.420502939267966e+22,9.757949706073203e+23,2.300063908774455e+22,1.2043903049351123e+21,1e+24,2048,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.334602961928464,3.4050524873418495,0.7016032021964187,3.2617228074528275,1.000000000000196e+19,-1959936.0,7.769391745385473e+18,2.2306082546164877e+18,1e+19,4096,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.542400055412589,160.59509809982805,0.9999999999999993,2.099274090858746,1.0000000000003175e+22,-3175088128.0,9.35503936680555e+21,6.449606331976259e+20,1e+22,4096,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.5674865540074217e+22,9.743251344599258e+23,2.4470475235139105e+22,1.2043903049351123e+21,1e+24,4096,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.3145799111433169,3.245042881260308,0.7073565258756108,3.2851347296591533,1.0000000000005313e+19,-5312512.0,7.797471981015455e+18,2.2025280189898583e+18,1e+19,8192,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.034537865032014,152.93540989218397,1.0,2.1087532637329627,1.0000000000006103e+22,-6102712320.0,9.385801185910996e+21,6.14198814095107e+20,1e+22,8192,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.8614537834863335e+22,9.713854621651366e+23,2.7410147529928223e+22,1.2043903049351123e+21,1e+24,8192,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.24023872891342624,2.6253652854499903,0.7326865698187981,3.392540916283601,1.0000000000001356e+19,-1355776.0,7.917736531738544e+18,2.0822634682628127e+18,1e+19,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
