tau,model,pseudo_R2_train,ordinary_R2_train,ordinary_R2_test_trainmean_baseline,ordinary_R2_test_testmean_baseline
0.9,intercept,5.149426053341344e-06,-1.7591808969073384,-1.3552049115133395,-1.3572410220670443
0.9,params,0.31975779272915617,-0.6350586207613944,0.34170048474371384,0.3411313747762713
0.9,params_type,0.3845742772451881,-0.13091069635907648,0.36698093198167137,0.3664336773462944
0.9,params_time,0.40678261248476577,-0.24979865998200412,-0.3618706185016498,-0.3630479764145669
0.9,full,0.42585596576589535,-0.1090637792619773,-0.26997696625618195,-0.2710748807057124
0.95,intercept,3.701212309858981e-06,-2.607347100741667,-1.9909376385071216,-1.9935233496957605
0.95,params,0.33150342520794196,-0.8695001168759386,0.19016805315701468,0.18946794109218612
0.95,params_type,0.374125504840779,-0.5825218513573631,0.16188860353248424,0.16116404345230373
0.95,params_time,0.41319268526380626,-0.4488138957954695,-0.6078653365648048,-0.6092553606619489
0.95,full,0.4309850922191888,-0.4117312816275436,-0.4314680448574546,-0.43270557080654615
