annual_compute_growth,horizon_months,model,N_scale,D_scale,frontier_q95_conditional,median_conditional,mean_conditional,max_conditional
0.0,12,params_type_no_time,1.0,1.0,50.76551552058673,45.191372184836695,41.82820256191884,62.3795710630631
0.0,12,full_time_type,1.0,1.0,66.63825149375323,62.139856214682176,58.97034899072868,76.87052659853603
0.0,24,params_type_no_time,1.0,1.0,50.76551552058673,45.191372184836695,41.82820256191884,62.3795710630631
0.0,24,full_time_type,1.0,1.0,78.87441446468627,74.3760191856152,71.20651196166173,89.10668956946907
0.25,12,params_type_no_time,1.1060048134370044,1.1301939962770307,51.478473852030795,45.87943093912112,42.39990581293351,63.12864501452414
0.25,12,full_time_type,1.1060048134370044,1.1301939962770307,67.28776191402093,62.75441276308629,59.49117496674727,77.55293862118481
0.25,24,params_type_no_time,1.2232466473458228,1.2773384692206449,52.19559067741567,46.57369877974932,42.981333277077994,63.87864731606525
0.25,24,full_time_type,1.2232466473458228,1.2773384692206449,80.17722372458371,75.61174413531597,72.2570227452437,90.47235934869533
0.5,12,params_type_no_time,1.200906244869504,1.2490567073060697,52.06410668025566,46.44624798572059,42.874253384874095,63.74137618166325
0.5,12,full_time_type,1.200906244869504,1.2490567073060697,67.82127783999722,63.26147362894061,59.92330918443719,78.11114133840891
0.5,24,params_type_no_time,1.442175808966573,1.5601426580662807,53.37547656573246,47.7202938622101,43.95160487419635,65.10601485688406
0.5,24,full_time_type,1.442175808966573,1.5601426580662807,81.25210867281956,76.63972003868483,73.14094749234879,91.59050044067962
