comparability,n,score,slope_score_per_loss,intercept,loo_MAE,slope_ci95,pred_at_loss_1.8_ci95,pred_at_loss_2.0_ci95,pred_at_loss_2.2_ci95
High,7,LB_Average,-0.8816640389378915,7.671652427888812,0.47810768059179104,"[-4.588606789272424, 0.42596194151460054]","[5.236662274612756, 7.516207107136376]","[5.325358540628155, 6.542651522531239]","[5.389815659378326, 5.950073415202943]"
High,7,LB_IFEval,-9.983937632301975,44.948851109744616,1.3703066761868499,"[-13.708032383607467, -0.7797693141560516]","[22.815316462766006, 29.247247225038222]","[22.542888195507732, 26.601762337114977]","[22.12711897007938, 23.95141530394724]"
High,7,LB_BBH,-7.106177626193817,20.078628387503908,0.8872920211134833,"[-16.714961905578214, -4.129655029365154]","[5.26817666797894, 10.944671839760787]","[4.481095334699891, 7.662363769974476]","[3.616314656232875, 5.009862996126179]"
High,7,LB_MATH,-1.4453875403004923,4.550054784308302,0.1961186055671093,"[-3.252779939770177, -0.7667465147308807]","[1.5536055830778492, 2.599002248630664]","[1.380075275098995, 1.953023907985325]","[1.1969683382183147, 1.500742814663984]"
High,7,LB_GPQA,2.417952311580137,-4.798791223413533,0.5368845598911879,"[0.44458162167709486, 7.743766985914426]","[-2.4032170287221923, 0.8207789985647732]","[-0.9235391265716295, 0.9346507967549696]","[0.22066108712962418, 1.0703495826636884]"
High,7,LB_MUSR,10.983904014855685,-20.53248077207275,2.5860053875874236,"[-5.0383814997102245, 19.127454427664066]","[-5.5158422131390665, 5.4525918356381515]","[-1.8266576841308508, 4.468069351924209]","[1.9434721464125237, 4.596699481213211]"
High,7,LB_MMLU_PRO,-0.15633776126688834,1.7836522812623405,0.15304927656290218,"[-0.7246894178242416, 0.9690533792038478]","[1.0079171261460593, 1.8419603386047576]","[1.1826724547852567, 1.707073529767321]","[1.3118746644441281, 1.5688361735978527]"
Medium,36,LB_Average,-14.528726451030725,48.92926974440717,6.7220440465638065,"[-22.80309854350841, -7.472263319764434]","[18.507887918539993, 27.706649680927526]","[16.72632656484018, 23.38351479076094]","[14.559096614418849, 19.387895516423832]"
Medium,36,LB_IFEval,-5.47567848263719,41.41386605418415,10.27665390160823,"[-16.930341074943005, 6.147563485604958]","[25.72038311099127, 39.24132075003217]","[25.88106280921797, 36.222908158697955]","[25.632039215570277, 33.98919769287243]"
Medium,36,LB_BBH,-28.35962880545434,86.31019095463624,10.414522733043112,"[-40.8134078248805, -17.543186624581978]","[28.73693669224908, 42.324466356908545]","[24.7656073383426, 34.57133532126167]","[20.282886232681133, 27.545824399209536]"
Medium,36,LB_MATH,-9.68276387650999,30.693137801186776,8.218063372337982,"[-19.663913863623257, -1.9968672890365302]","[8.33974262552384, 19.305190136115]","[7.626692325620622, 15.622649819550245]","[6.636314932629049, 12.341798861822763]"
Medium,36,LB_GPQA,-10.611902839978686,29.83174122143501,3.9512378142306392,"[-16.22888015843784, -6.4874730634923035]","[8.020967480673072, 13.811131359485943]","[6.628093183097227, 10.736327327893859]","[5.1145498183466405, 7.8787946331207825]"
Medium,36,LB_MUSR,-7.293865770321767,25.255270124834578,4.3385878422360475,"[-12.168352581829645, -2.0818057911136303]","[9.628566924888203, 14.960219323265191]","[8.818566706589431, 12.678127362567757]","[7.741461485754119, 10.745001003706095]"
Medium,36,LB_MMLU_PRO,-25.74851893128237,80.07141231016621,10.412964589077042,"[-38.868591672385136, -15.266315348460962]","[27.475474822819375, 40.705086836785064]","[23.939359274500433, 33.43879520985056]","[19.746898523738693, 26.99781934014693]"
