score,cohort,horizon_months,method,n_forecasts,MAE,RMSE,mean_bias,R2
c8_q95,all_four_types,1,linear_all,3,1.0171590291724446,1.0345296193948301,-0.47251527097972473,0.5667355662477493
c8_q95,all_four_types,1,linear_last_4,3,0.8524778271876722,0.8602484043149786,-0.3768708346331451,0.7004185404006313
c8_q95,all_four_types,1,mean_last_3,3,2.3916063963980982,2.4966353115900755,-2.3916063963980982,-1.5233494488046064
c8_q95,all_four_types,1,naive_last,3,1.3042142558098604,1.6506988845100135,-1.3042142558098604,-0.10306955104536897
c8_q95,all_four_types,3,linear_all,1,2.9357650191922673,2.9357650191922673,-2.9357650191922673,
c8_q95,all_four_types,3,linear_last_4,1,3.0393201676495565,3.0393201676495565,-3.0393201676495565,
c8_q95,all_four_types,3,mean_last_3,1,5.131810506280239,5.131810506280239,-5.131810506280239,
c8_q95,all_four_types,3,naive_last,1,3.912642767429581,3.912642767429581,-3.912642767429581,
c8_q95,pretrained_only,1,linear_all,3,10.455412935580595,11.948918052356559,1.9663748118667972,-1.174655082496622
c8_q95,pretrained_only,1,linear_last_4,3,13.502776598515885,13.89502939302185,-4.993686248165438,-1.940709729677398
c8_q95,pretrained_only,1,mean_last_3,3,9.92370941612239,11.252925781899759,1.654575391400866,-0.9286975459207758
c8_q95,pretrained_only,1,naive_last,3,11.355789467989934,13.33165026850481,-0.5645178176982147,-1.707079707032046
c8_q95,pretrained_only,3,linear_all,1,0.7522206926388648,0.7522206926388648,0.7522206926388648,
c8_q95,pretrained_only,3,linear_last_4,1,5.116825403006551,5.116825403006551,-5.116825403006551,
c8_q95,pretrained_only,3,mean_last_3,1,0.5130337172473389,0.5130337172473389,-0.5130337172473389,
c8_q95,pretrained_only,3,naive_last,1,1.6935534530946441,1.6935534530946441,-1.6935534530946441,
leaderboard_average_q95,all_models,1,linear_all,3,1.2106738314439671,1.632715960170061,1.177236412796013,-0.47189021475362103
leaderboard_average_q95,all_models,1,linear_last_4,3,0.8545155761219215,1.193989942984971,-0.5623764211383531,0.21285366198943168
leaderboard_average_q95,all_models,1,mean_last_3,3,1.6043975548531104,1.7619332118280346,-1.6043975548531104,-0.7140876497202977
leaderboard_average_q95,all_models,1,naive_last,3,1.218188524013205,1.3621091763923028,-0.9790497398245464,-0.024419836416690544
leaderboard_average_q95,all_models,3,linear_all,1,0.6161365400505687,0.6161365400505687,-0.6161365400505687,
leaderboard_average_q95,all_models,3,linear_last_4,1,3.40294325753775,3.40294325753775,-3.40294325753775,
leaderboard_average_q95,all_models,3,mean_last_3,1,4.200594607649762,4.200594607649762,-4.200594607649762,
leaderboard_average_q95,all_models,3,naive_last,1,2.937149219473639,2.937149219473639,-2.937149219473639,
