target,min_train,method,n_forecasts,MAE,RMSE,mean_bias
c8_equal_task,3,naive_last,7,0.9990839300994411,1.3284485064592901,-0.7665118796972418
c8_equal_task,3,mean_last_3,7,1.9939761658822681,2.108317794961428,-1.9939761658822681
c8_equal_task,3,mean_all,7,3.421428753989258,3.6676058442963178,-3.421428753989258
c8_equal_task,3,linear_all,7,0.8571343917891312,0.9590312944243188,0.23612581809970226
c8_equal_task,3,linear_last_4,7,1.0052984918860983,1.0699819824942765,0.10290353065568882
c8_equal_task,5,naive_last,5,1.235917066857678,1.539673976198723,-1.235917066857678
c8_equal_task,5,mean_last_3,5,2.001058529983608,2.1407433798409485,-2.001058529983608
c8_equal_task,5,mean_all,5,3.967020822192778,4.133605907647997,-3.967020822192778
c8_equal_task,5,linear_all,5,0.760840936960976,0.8357165067246998,-0.10857106620422456
c8_equal_task,5,linear_last_4,5,0.96827067709673,1.0067724005256657,-0.29508226862584336
leaderboard_average,3,naive_last,7,1.7117898408647727,1.8901338857650354,-0.18615163303726842
leaderboard_average,3,mean_last_3,7,1.638263400562997,2.1469393750069057,-1.5351777869018122
leaderboard_average,3,mean_all,7,3.5788616496528127,3.7624641561476815,-3.5788616496528127
leaderboard_average,3,linear_all,7,3.172465382300195,3.920567683489725,3.0941680594652428
leaderboard_average,3,linear_last_4,7,3.2274864100210996,4.126090273191146,1.7581614935190413
leaderboard_average,5,naive_last,5,1.595506922621985,1.7877837125284037,-1.0616111408408728
leaderboard_average,5,mean_last_3,5,1.5236954289577285,1.9261789077539844,-1.4389924410509167
leaderboard_average,5,mean_all,5,3.973848505952411,4.07928555793844,-3.973848505952411
leaderboard_average,5,linear_all,5,1.8083669804476643,2.045101408244294,1.6987507284787313
leaderboard_average,5,linear_last_4,5,1.8853964192569308,2.549062130349283,-0.17165846384595085
