target,n_months,first_q95,last_q95,change_last_minus_first,linear_slope_per_month
IFEval,10,77.61390887290166,83.15347721822542,5.539568345323758,0.30186759683163017
BBH,10,63.81270612740843,67.16368685992016,3.3509807325117293,0.3868856942976041
MATH,10,20.528700906344387,47.82477341389726,27.296072507552875,3.1941087613293067
GPQA,10,36.58137583892618,39.13590604026845,2.554530201342274,0.43082672361195923
MUSR,10,48.948412698412696,48.955026455026456,0.006613756613759847,0.24178290844957465
MMLU_PRO,10,49.27360372340422,54.1298204787234,4.856216755319181,0.7403917835267617
C8_exclude_IFEval,10,42.29254184642494,49.74101055135767,7.448468704932729,1.0773444475978056
C8_exclude_BBH,10,42.78861967599097,51.67225351750163,8.883633841510658,1.0926981079947466
C8_exclude_MATH,10,51.45240229926335,55.659737106048915,4.207334806785568,0.4595383539159912
C8_exclude_GPQA,10,47.912911296711556,57.22411367752396,9.311202380812404,1.1110937790825877
C8_exclude_MUSR,10,46.38764344316472,55.074424082136005,8.686780638971285,1.0727795770598396
C8_exclude_MMLU_PRO,10,45.88246853041002,54.256336203055035,8.373867672645012,1.01673453303504
