dataset,role,scale,loss_observed,index,mixture_domain,proportion_raw,proportion_normalized,mapping_type_A16,quality_domain_proxy,mapping_confidence,domain_quality_score_0_1,weighted_quality_contribution
A4_A5_train_1m,train,1m,True,1,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,2,arxiv,0.025,0.025050100200400802,direct,arxiv,official,0.004619364375461937,0.00011571554046748339
A4_A5_train_1m,train,1m,True,3,arxiv,0.679,0.679,direct,arxiv,official,0.004619364375461937,0.0031365484109386554
A4_A5_train_1m,train,1m,True,4,arxiv,0.008,0.007992007992007994,direct,arxiv,official,0.004619364375461937,3.6917997006688816e-05
A4_A5_train_1m,train,1m,True,5,arxiv,0.193,0.19280719280719283,direct,arxiv,official,0.004619364375461937,0.0008906466777863675
A4_A5_train_1m,train,1m,True,6,arxiv,0.506,0.5065065065065065,direct,arxiv,official,0.004619364375461937,0.0023397381120958357
A4_A5_train_1m,train,1m,True,7,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,8,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,9,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,10,arxiv,0.006,0.006,direct,arxiv,official,0.004619364375461937,2.7716186252771622e-05
A4_A5_train_1m,train,1m,True,11,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,12,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,13,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,14,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,15,arxiv,0.003,0.003006012024048096,direct,arxiv,official,0.004619364375461937,1.3885864856098006e-05
A4_A5_train_1m,train,1m,True,16,arxiv,0.094,0.094,direct,arxiv,official,0.004619364375461937,0.000434220251293422
A4_A5_train_1m,train,1m,True,17,arxiv,0.533,0.5335335335335335,direct,arxiv,official,0.004619364375461937,0.0024645857979191314
A4_A5_train_1m,train,1m,True,18,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,19,arxiv,0.156,0.15615615615615616,direct,arxiv,official,0.004619364375461937,0.0007213421847568189
A4_A5_train_1m,train,1m,True,20,arxiv,0.001,0.001,direct,arxiv,official,0.004619364375461937,4.6193643754619364e-06
A4_A5_train_1m,train,1m,True,21,arxiv,0.739,0.7382617382617381,direct,arxiv,official,0.004619364375461937,0.0034102999734928778
A4_A5_train_1m,train,1m,True,22,arxiv,0.004,0.004,direct,arxiv,official,0.004619364375461937,1.8477457501847746e-05
A4_A5_train_1m,train,1m,True,23,arxiv,0.002,0.002,direct,arxiv,official,0.004619364375461937,9.238728750923873e-06
A4_A5_train_1m,train,1m,True,24,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,25,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,26,arxiv,0.377,0.3773773773773773,direct,arxiv,official,0.004619364375461937,0.0017432436131623122
A4_A5_train_1m,train,1m,True,27,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,28,arxiv,0.013,0.013013013013013013,direct,arxiv,official,0.004619364375461937,6.011184872973491e-05
A4_A5_train_1m,train,1m,True,29,arxiv,0.002,0.001998001998001998,direct,arxiv,official,0.004619364375461937,9.2294992516722e-06
A4_A5_train_1m,train,1m,True,30,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,31,arxiv,0.082,0.082,direct,arxiv,official,0.004619364375461937,0.00037878787878787884
A4_A5_train_1m,train,1m,True,32,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,33,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,34,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,35,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,36,arxiv,0.577,0.5775775775775776,direct,arxiv,official,0.004619364375461937,0.0026680412859274648
A4_A5_train_1m,train,1m,True,37,arxiv,0.005,0.005010020040080159,direct,arxiv,official,0.004619364375461937,2.3143108093496673e-05
A4_A5_train_1m,train,1m,True,38,arxiv,0.009,0.009009009009009009,direct,arxiv,official,0.004619364375461937,4.161589527443186e-05
A4_A5_train_1m,train,1m,True,39,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,40,arxiv,0.041,0.04095904095904095,direct,arxiv,official,0.004619364375461937,0.0001892047346592801
A4_A5_train_1m,train,1m,True,41,arxiv,0.034,0.034,direct,arxiv,official,0.004619364375461937,0.00015705838876570587
A4_A5_train_1m,train,1m,True,42,arxiv,0.006,0.005994005994005993,direct,arxiv,official,0.004619364375461937,2.76884977550166e-05
A4_A5_train_1m,train,1m,True,43,arxiv,0.327,0.3266733266733267,direct,arxiv,official,0.004619364375461937,0.001509023127648405
A4_A5_train_1m,train,1m,True,44,arxiv,0.003,0.002999999999999999,direct,arxiv,official,0.004619364375461937,1.3858093126385806e-05
A4_A5_train_1m,train,1m,True,45,arxiv,0.904,0.903096903096903,direct,arxiv,official,0.004619364375461937,0.0041717336617558345
A4_A5_train_1m,train,1m,True,46,arxiv,0.008,0.007992007992007992,direct,arxiv,official,0.004619364375461937,3.69179970066888e-05
A4_A5_train_1m,train,1m,True,47,arxiv,0.0,0.0,direct,arxiv,official,0.004619364375461937,0.0
A4_A5_train_1m,train,1m,True,48,arxiv,0.118,0.11800000000000001,direct,arxiv,official,0.004619364375461937,0.0005450849963045086
A4_A5_train_1m,train,1m,True,49,arxiv,0.708,0.708,direct,arxiv,official,0.004619364375461937,0.003270509977827051
