dataset,role,scale,loss_observed,index,mixture_sum_raw,mapped_share_direct_near_direct,quality_score_mapped_0_1,quality_score_proxy_0_1,proxy_low_share,proxy_middle_share,proxy_high_share,loss_mean_13_domains,p_arxiv,p_freelaw,p_nih_exporter,p_pubmed_central,p_wikipedia_en,p_dm_mathematics,p_github,p_philpapers,p_stackexchange,p_enron_emails,p_gutenberg_pg_19,p_pile_cc,p_ubuntu_irc,p_europarl,p_hackernews,p_pubmed_abstracts,p_uspto_backgrounds,metric/the_pile_arxiv_val_loss,metric/the_pile_freelaw_val_loss,metric/the_pile_pubmed_central_val_loss,metric/the_pile_wikipedia_en_val_loss,metric/the_pile_dm_mathematics_val_loss,metric/the_pile_github_val_loss,metric/the_pile_stackexchange_val_loss,metric/the_pile_gutenberg_pg_19_val_loss,metric/the_pile_pile_cc_val_loss,metric/the_pile_ubuntu_irc_val_loss,metric/the_pile_hackernews_val_loss,metric/the_pile_pubmed_abstracts_val_loss,metric/the_pile_uspto_backgrounds_val_loss
A4_A5_train_1m,train,1m,True,1,1.0,0.996,0.14270313735347107,0.14215080226155902,0.7174223172564484,0.2808537609639851,0.0017239217795664513,5.904635429382324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.209,0.787,0.0,0.0,0.0,0.0,0.0,7.0255866050720215,5.360580921173096,6.536046981811523,5.639575004577637,5.820674896240234,6.632823467254639,6.107803821563721,4.726566791534424,5.169477939605713,7.224245071411133,5.206871032714844,5.892633438110352,5.417374610900879
A4_A5_train_1m,train,1m,True,2,0.998,0.782565130260521,0.29589038105854276,0.27290492719386616,0.5692138138544084,0.31576251790345095,0.11502366824214058,5.133344430189866,0.025050100200400802,0.002004008016032064,0.050100200400801605,0.0,0.047094188376753505,0.0,0.3046092184368737,0.009018036072144287,0.003006012024048096,0.001002004008016032,0.1032064128256513,0.29959919839679355,0.02404809619238477,0.04008016032064128,0.09018036072144288,0.001002004008016032,0.0,4.738541603088379,5.466145038604736,5.808464050292969,5.42556619644165,4.61490535736084,4.141744136810303,4.922904014587402,4.954422473907471,5.343518733978272,5.278083324432373,4.80118989944458,5.653641700744629,5.584351062774658
A4_A5_train_1m,train,1m,True,3,1.0,0.9480000000000001,0.054334504906753754,0.051924521886203404,0.8984733718698399,0.09920421248791354,0.002322415642246631,5.542253035765428,0.679,0.0,0.0,0.044,0.0,0.001,0.0,0.003,0.0,0.001,0.0,0.269,0.0,0.0,0.0,0.003,0.0,3.730258703231812,5.793972492218018,4.72146463394165,5.933119773864746,4.077418327331543,6.540956497192383,6.079324245452881,5.561453819274902,5.506680965423584,7.476072311401367,5.495143413543701,5.626057624816895,5.50736665725708
A4_A5_train_1m,train,1m,True,4,1.001,0.6683316683316685,0.3730902261912603,0.25495911530489657,0.5995297313842708,0.2910223066216655,0.10944796199406379,5.290134576650766,0.007992007992007994,0.02497502497502498,0.0,0.006993006993006994,0.014985014985014986,0.0,0.31468531468531474,0.0,0.2157842157842158,0.0,0.10889110889110891,0.005994005994005995,0.0,0.008991008991008992,0.0,0.05394605394605395,0.23676323676323677,4.887355327606201,5.040224075317383,5.371085166931152,5.858128547668457,5.298433780670166,4.150362968444824,4.455072402954102,5.095427989959717,5.828740119934082,7.491352558135986,5.551083087921143,5.268948078155518,4.475535392761231
A4_A5_train_1m,train,1m,True,5,1.001,0.8001998001998003,0.23262472477299756,0.19114590374288445,0.6487150499759398,0.3202780925623516,0.031006857461708642,4.9657532618596,0.19280719280719283,0.0029970029970029974,0.0,0.059940059940059943,0.009990009990009992,0.06093906093906094,0.03096903096903097,0.0,0.41658341658341663,0.0,0.1278721278721279,0.02197802197802198,0.0,0.007992007992007994,0.0009990009990009992,0.0,0.06693306693306694,4.034541130065918,5.597909927368164,4.6931257247924805,5.8146257400512695,2.008139610290528,4.485220432281494,4.24920654296875,5.003798007965088,5.760408401489258,7.100966453552246,5.329304218292236,5.664215087890625,4.813331127166748
A4_A5_train_1m,train,1m,True,6,0.999,0.8548548548548549,0.2076328248313185,0.23291673761638096,0.6588818132240936,0.21640289831905124,0.12471528845685532,5.358781594496507,0.5065065065065065,0.005005005005005005,0.0,0.011011011011011011,0.13813813813813816,0.0,0.2102102102102102,0.0,0.0,0.002002002002002002,0.0,0.0,0.026026026026026026,0.0990990990990991,0.0,0.001001001001001001,0.001001001001001001,3.848159790039064,5.519326210021973,5.222227573394775,5.401707172393799,5.442045211791992,4.315804481506348,5.147463321685791,5.998071670532227,5.9236016273498535,5.313143730163574,5.817320823669434,6.0437750816345215,5.67151403427124
A4_A5_train_1m,train,1m,True,7,1.0,0.23299999999999998,0.22395481298328304,0.0604743109180212,0.8854689924009098,0.10811339336213803,0.006417614236952199,5.058426526876596,0.0,0.0,0.009,0.319,0.016,0.004,0.0,0.001,0.028,0.019,0.004,0.185,0.008,0.0,0.004,0.001,0.402,5.365633010864258,5.7348151206970215,4.126685619354248,5.565597534179688,2.9376449584960938,5.73452091217041,5.128252029418945,5.392933368682861,5.41911506652832,5.869746685028076,5.159833908081055,5.069451332092285,4.25531530380249
A4_A5_train_1m,train,1m,True,8,0.999,0.3963963963963964,0.17848350240043298,0.07257623503997016,0.8557901170710266,0.14326729577800656,0.0009425871509668697,5.898907331319956,0.0,0.5675675675675675,0.014014014014014014,0.0,0.0,0.0,0.0,0.022022022022022022,0.0,0.0,0.003003003003003003,0.3933933933933934,0.0,0.0,0.0,0.0,0.0,7.175310134887695,3.980865478515625,6.568063259124756,5.785682678222656,5.779679298400879,6.64463996887207,6.25684118270874,5.178667545318604,5.321898460388184,7.332483768463135,5.339742183685303,5.812262058258057,5.509659290313721
A4_A5_train_1m,train,1m,True,9,1.0,0.003,0.50765,0.006128456282335551,0.9908721335233872,0.005998820388554535,0.003129046088058283,6.21538573044997,0.0,0.0,0.0,0.828,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,5.732336521148682,6.613649368286133,3.839976310729981,6.18618631362915,5.692158222198486,7.759432315826416,6.9663615226745605,6.6692962646484375,6.354576110839844,8.405691146850586,6.47177791595459,4.594342708587647,5.514229774475098
A4_A5_train_1m,train,1m,True,10,1.0,0.6930000000000001,0.46680081884360664,0.3249111123218863,0.5034942804968701,0.34318921436248745,0.15331650514064257,5.393702800457294,0.006,0.0,0.0,0.307,0.59,0.0,0.005,0.0,0.036,0.0,0.014,0.042,0.0,0.0,0.0,0.0,0.0,4.920166969299316,5.735522270202637,4.18813419342041,4.815326690673828,5.443886756896973,5.298417091369629,5.052807331085205,5.244697570800781,5.520979404449463,7.628385543823242,5.575355052947998,5.24343204498291,5.451025485992432
