dataset,role,scale,loss_observed,index,mixture_sum_raw,mapped_share_direct_near_direct,quality_score_mapped_0_1,quality_score_proxy_0_1,proxy_low_share,proxy_middle_share,proxy_high_share,loss_mean_13_domains,p_arxiv,p_freelaw,p_nih_exporter,p_pubmed_central,p_wikipedia_en,p_dm_mathematics,p_github,p_philpapers,p_stackexchange,p_enron_emails,p_gutenberg_pg_19,p_pile_cc,p_ubuntu_irc,p_europarl,p_hackernews,p_pubmed_abstracts,p_uspto_backgrounds,metric/the_pile_arxiv_val_loss,metric/the_pile_freelaw_val_loss,metric/the_pile_pubmed_central_val_loss,metric/the_pile_wikipedia_en_val_loss,metric/the_pile_dm_mathematics_val_loss,metric/the_pile_github_val_loss,metric/the_pile_stackexchange_val_loss,metric/the_pile_gutenberg_pg_19_val_loss,metric/the_pile_pile_cc_val_loss,metric/the_pile_ubuntu_irc_val_loss,metric/the_pile_hackernews_val_loss,metric/the_pile_pubmed_abstracts_val_loss,metric/the_pile_uspto_backgrounds_val_loss,quality_score_soft_proxy_0_1,quality_score_soft_low_0_1,quality_score_soft_high_0_1,quality_score_soft_range_width
A4_A5_train_1m,train,1m,True,1,1.0,0.996,0.142703137353471,0.142150802261559,0.7174223172564484,0.2808537609639851,0.0017239217795664,5.904635429382324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.209,0.787,0.0,0.0,0.0,0.0,0.0,7.0255866050720215,5.360580921173096,6.536046981811523,5.639575004577637,5.820674896240234,6.632823467254639,6.107803821563721,4.726566791534424,5.169477939605713,7.224245071411133,5.206871032714844,5.892633438110352,5.417374610900879,0.1425518704598448,0.14214402071048987,0.14416292480405712,0.002018904093567253
A4_A5_train_1m,train,1m,True,2,0.998,0.782565130260521,0.2958903810585427,0.2729049271938661,0.5692138138544084,0.3157625179034509,0.1150236682421405,5.133344430189866,0.0250501002004008,0.002004008016032,0.0501002004008016,0.0,0.0470941883767535,0.0,0.3046092184368737,0.0090180360721442,0.003006012024048,0.001002004008016,0.1032064128256513,0.2995991983967935,0.0240480961923847,0.0400801603206412,0.0901803607214428,0.001002004008016,0.0,4.738541603088379,5.466145038604736,5.808464050292969,5.42556619644165,4.61490535736084,4.141744136810303,4.922904014587402,4.954422473907471,5.343518733978272,5.278083324432373,4.80118989944458,5.653641700744629,5.584351062774658,0.28635696164752195,0.2526601381902808,0.3419343062191599,0.08927416802887905
A4_A5_train_1m,train,1m,True,3,1.0,0.948,0.0543345049067537,0.0519245218862034,0.8984733718698399,0.0992042124879135,0.0023224156422466,5.542253035765428,0.679,0.0,0.0,0.044,0.0,0.001,0.0,0.003,0.0,0.001,0.0,0.269,0.0,0.0,0.0,0.003,0.0,3.730258703231812,5.793972492218018,4.72146463394165,5.933119773864746,4.077418327331543,6.540956497192383,6.079324245452881,5.561453819274902,5.506680965423584,7.476072311401367,5.495143413543701,5.626057624816895,5.50736665725708,0.05800499546044819,0.05191943572290154,0.0779069106516025,0.025987474928700967
A4_A5_train_1m,train,1m,True,4,1.001,0.6683316683316685,0.3730902261912603,0.2549591153048965,0.5995297313842708,0.2910223066216655,0.1094479619940637,5.290134576650766,0.0079920079920079,0.0249750249750249,0.0,0.0069930069930069,0.0149850149850149,0.0,0.3146853146853147,0.0,0.2157842157842158,0.0,0.1088911088911089,0.0059940059940059,0.0,0.0089910089910089,0.0,0.0539460539460539,0.2367632367632367,4.887355327606201,5.040224075317383,5.371085166931152,5.858128547668457,5.298433780670166,4.150362968444824,4.455072402954102,5.095427989959717,5.828740119934082,7.491352558135986,5.551083087921143,5.268948078155518,4.475535392761231,0.2932399378274669,0.25042111909058445,0.41771944188007293,0.16729832278948847
A4_A5_train_1m,train,1m,True,5,1.001,0.8001998001998003,0.2326247247729975,0.1911459037428844,0.6487150499759398,0.3202780925623516,0.0310068574617086,4.9657532618596,0.1928071928071928,0.0029970029970029,0.0,0.0599400599400599,0.0099900099900099,0.0609390609390609,0.0309690309690309,0.0,0.4165834165834166,0.0,0.1278721278721279,0.0219780219780219,0.0,0.0079920079920079,0.0009990009990009,0.0,0.0669330669330669,4.034541130065918,5.597909927368164,4.6931257247924805,5.8146257400512695,2.008139610290528,4.485220432281494,4.24920654296875,5.003798007965088,5.760408401489258,7.100966453552246,5.329304218292236,5.664215087890625,4.813331127166748,0.2114137383681532,0.18711212933016252,0.28757482971345727,0.10046270038329475
A4_A5_train_1m,train,1m,True,6,0.999,0.8548548548548549,0.2076328248313185,0.2329167376163809,0.6588818132240936,0.2164028983190512,0.1247152884568553,5.358781594496507,0.5065065065065065,0.005005005005005,0.0,0.011011011011011,0.1381381381381381,0.0,0.2102102102102102,0.0,0.0,0.002002002002002,0.0,0.0,0.026026026026026,0.0990990990990991,0.0,0.001001001001001,0.001001001001001,3.848159790039064,5.519326210021973,5.222227573394775,5.401707172393799,5.442045211791992,4.315804481506348,5.147463321685791,5.998071670532227,5.9236016273498535,5.313143730163574,5.817320823669434,6.0437750816345215,5.67151403427124,0.218883756868692,0.1828988434063814,0.2511788612672131,0.06828001786083171
A4_A5_train_1m,train,1m,True,7,1.0,0.2329999999999999,0.223954812983283,0.0604743109180212,0.8854689924009098,0.108113393362138,0.0064176142369521,5.058426526876596,0.0,0.0,0.009,0.319,0.016,0.004,0.0,0.001,0.028,0.019,0.004,0.185,0.008,0.0,0.004,0.001,0.402,5.365633010864258,5.7348151206970215,4.126685619354248,5.565597534179688,2.9376449584960938,5.73452091217041,5.128252029418945,5.392933368682861,5.41911506652832,5.869746685028076,5.159833908081055,5.069451332092285,4.25531530380249,0.15168760958004074,0.06047261553025388,0.441549021425105,0.3810764058948511
A4_A5_train_1m,train,1m,True,8,0.999,0.3963963963963964,0.1784835024004329,0.0725762350399701,0.8557901170710266,0.1432672957780065,0.0009425871509668,5.898907331319956,0.0,0.5675675675675675,0.014014014014014,0.0,0.0,0.0,0.0,0.022022022022022,0.0,0.0,0.003003003003003,0.3933933933933934,0.0,0.0,0.0,0.0,0.0,7.175310134887695,3.980865478515625,6.568063259124756,5.785682678222656,5.779679298400879,6.64463996887207,6.25684118270874,5.178667545318604,5.321898460388184,7.332483768463135,5.339742183685303,5.812262058258057,5.509659290313721,0.18270561700233598,0.07253889917322333,0.3771695865371085,0.3046306873638852
A4_A5_train_1m,train,1m,True,9,1.0,0.003,0.50765,0.0061284562823355,0.9908721335233872,0.0059988203885545,0.0031290460880582,6.21538573044997,0.0,0.0,0.0,0.828,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,5.732336521148682,6.613649368286133,3.839976310729981,6.18618631362915,5.692158222198486,7.759432315826416,6.9663615226745605,6.6692962646484375,6.354576110839844,8.405691146850586,6.47177791595459,4.594342708587647,5.514229774475098,0.1239006324474274,0.006128456282335515,0.50765,0.5015215437176646
A4_A5_train_1m,train,1m,True,10,1.0,0.6930000000000001,0.4668008188436066,0.3249111123218863,0.5034942804968701,0.3431892143624874,0.1533165051406425,5.393702800457294,0.006,0.0,0.0,0.307,0.59,0.0,0.005,0.0,0.036,0.0,0.014,0.042,0.0,0.0,0.0,0.0,0.0,4.920166969299316,5.735522270202637,4.18813419342041,4.815326690673828,5.443886756896973,5.298417091369629,5.052807331085205,5.244697570800781,5.520979404449463,7.628385543823242,5.575355052947998,5.24343204498291,5.451025485992432,0.36117596496249127,0.32491111232188624,0.4793415174586194,0.15443040513673317
