month,n,q95,q95_boot_lo,q95_boot_hi,q95_boot_se
2024-06-01,160,45.800599568449385,41.4777210155327,47.345599919982014,1.5229960620305254
2024-07-01,69,42.45028040631148,40.85860445850332,44.48595322540008,1.4287712771507233
2024-08-01,102,48.79880789087819,45.057402730041176,55.79706639735912,2.1602787841566653
2024-09-01,249,48.10099027659538,45.94289738692304,49.7708325534644,1.0061556333664512
2024-10-01,196,47.98480571447049,45.6094393143605,49.17176374245984,1.1690810024716485
2024-11-01,168,49.84763547615544,47.46513601853297,53.10035959349558,1.1323584725893825
2024-12-01,228,50.25227976372413,49.66287435320029,50.90554662054189,0.3458536591472355
2025-01-01,364,50.40515651578393,48.61524609407166,51.684748106674725,0.9023456060393636
2025-02-01,204,53.036376937586994,50.84678672565333,53.47679894695134,0.5845022828463708
2025-03-01,119,54.16439104875888,52.244647763401616,54.69613367487477,0.7290446418717277
