effect,target,n,mean_delta,median_delta,ci95_low,ci95_high,share_loss_increased
same_mixture_scale_1m_to_60m,metric/the_pile_arxiv_val_loss,256,-1.5935994358733296,-1.583400845527649,-1.623119182116352,-1.5657312930561602,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_freelaw_val_loss,256,-1.34304659627378,-1.3330137729644778,-1.3556937671732157,-1.330378784216009,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_pubmed_central_val_loss,256,-1.6638307059183717,-1.6157914400100708,-1.6990516109159215,-1.6283017796464263,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_wikipedia_en_val_loss,256,-1.3523109182715416,-1.349697828292847,-1.3593137216987088,-1.3453169309534132,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_dm_mathematics_val_loss,256,-1.301036092452705,-1.3492709398269656,-1.400889779033605,-1.2008410626091064,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_github_val_loss,256,-2.439604685641825,-2.4032907485961914,-2.472310807800386,-2.4068778031505644,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_stackexchange_val_loss,256,-1.6231571352109313,-1.6189873218536377,-1.638410602044314,-1.608138981438242,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_gutenberg_pg_19_val_loss,256,-0.9688598234206438,-0.9387588500976562,-0.9787260433658956,-0.959113973355852,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_pile_cc_val_loss,256,-1.0649028662592173,-1.0657367706298828,-1.0694802839774638,-1.0605259813833985,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_ubuntu_irc_val_loss,256,-1.9264513989910483,-1.973179817199707,-1.967318065883592,-1.886116583319381,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_hackernews_val_loss,256,-0.9763440135866404,-0.9748220443725586,-0.9822234229184688,-0.9707265770528466,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_pubmed_abstracts_val_loss,256,-1.3422633856534958,-1.3404390811920166,-1.3480518691474572,-1.3366992311086503,0.0
same_mixture_scale_1m_to_60m,metric/the_pile_uspto_backgrounds_val_loss,256,-1.3764131953939795,-1.3877112865447998,-1.3871527824550869,-1.3652868311619386,0.0
same_mixture_scale_1m_to_60m,loss_mean,256,-1.45937078868827,-1.4611753775523264,-1.4699964983872351,-1.448851919455382,0.0
