domain,dataset,M1_minus_B1_rmse,M1_better,relative_change_pct
metric/the_pile_arxiv_val_loss,A6_A7,-0.203781570349636,True,-26.212791401272128
metric/the_pile_freelaw_val_loss,A6_A7,-0.2409793997920503,True,-32.9168571399387
metric/the_pile_pubmed_central_val_loss,A6_A7,-0.2354693147040825,True,-30.267320461587232
metric/the_pile_wikipedia_en_val_loss,A6_A7,-0.2358321978401341,True,-43.97519983286664
metric/the_pile_dm_mathematics_val_loss,A6_A7,-0.3723012524329023,True,-24.12685704367494
metric/the_pile_github_val_loss,A6_A7,-0.1692551320835582,True,-21.62356077862361
metric/the_pile_stackexchange_val_loss,A6_A7,-0.1572118516664422,True,-25.957350440377148
metric/the_pile_gutenberg_pg_19_val_loss,A6_A7,-0.177311893349563,True,-39.79760431957919
metric/the_pile_pile_cc_val_loss,A6_A7,-0.1592890416338098,True,-49.61789984226697
metric/the_pile_ubuntu_irc_val_loss,A6_A7,-0.3557481290916954,True,-35.2574638959216
metric/the_pile_hackernews_val_loss,A6_A7,-0.1374538820168113,True,-40.66535824416397
metric/the_pile_pubmed_abstracts_val_loss,A6_A7,-0.2388666981003335,True,-46.39632475748601
metric/the_pile_uspto_backgrounds_val_loss,A6_A7,-0.1035127191245776,True,-21.46503401987356
loss_mean_13_domains,A6_A7,-0.0569286314613962,True,-19.933656393762007
metric/the_pile_arxiv_val_loss,A8_A9,-0.0449472357612621,True,-2.410430156648555
metric/the_pile_freelaw_val_loss,A8_A9,-0.0413932009020465,True,-2.802771920580159
metric/the_pile_pubmed_central_val_loss,A8_A9,-0.0908989148602381,True,-4.9174417529336365
metric/the_pile_wikipedia_en_val_loss,A8_A9,-0.0566684306795679,True,-3.971330209181021
metric/the_pile_dm_mathematics_val_loss,A8_A9,-0.0966683332227495,True,-5.942772027816709
metric/the_pile_github_val_loss,A8_A9,-0.0387102473305791,True,-1.4483141203984158
metric/the_pile_stackexchange_val_loss,A8_A9,-0.0324237319258131,True,-1.8049500616734555
metric/the_pile_gutenberg_pg_19_val_loss,A8_A9,-0.0482597162425531,True,-4.554724420775711
metric/the_pile_pile_cc_val_loss,A8_A9,-0.0254846358212372,True,-2.309234571074193
metric/the_pile_ubuntu_irc_val_loss,A8_A9,-0.0777794644465572,True,-3.696335595033241
metric/the_pile_hackernews_val_loss,A8_A9,-0.0242557304398145,True,-2.347626148175104
metric/the_pile_pubmed_abstracts_val_loss,A8_A9,-0.0900312062255561,True,-6.125109480573109
metric/the_pile_uspto_backgrounds_val_loss,A8_A9,-0.0315322570373262,True,-2.1542743442045817
loss_mean_13_domains,A8_A9,-0.0151466042617876,True,-0.9855964614233323
metric/the_pile_arxiv_val_loss,A10_A11,-0.0037438731671182,True,-0.116038699333446
metric/the_pile_freelaw_val_loss,A10_A11,0.0921045109534981,False,2.8112123606222816
metric/the_pile_pubmed_central_val_loss,A10_A11,0.0001749345949417,False,0.0051688047786215
metric/the_pile_wikipedia_en_val_loss,A10_A11,-0.0053996027927327,True,-0.1627732763060484
metric/the_pile_dm_mathematics_val_loss,A10_A11,0.2643032955634581,False,11.172025496075808
metric/the_pile_github_val_loss,A10_A11,0.1232722961302945,False,2.8641776960035505
metric/the_pile_stackexchange_val_loss,A10_A11,0.0938063954184809,False,2.7281532765739067
metric/the_pile_gutenberg_pg_19_val_loss,A10_A11,0.0432009000540816,False,1.6369606835134536
metric/the_pile_pile_cc_val_loss,A10_A11,-0.0524140951716862,True,-1.9072901677252272
metric/the_pile_ubuntu_irc_val_loss,A10_A11,0.1421280120726487,False,3.603336111575125
metric/the_pile_hackernews_val_loss,A10_A11,0.048172219155965,False,2.1237732798012083
metric/the_pile_pubmed_abstracts_val_loss,A10_A11,0.0631584682563617,False,2.1398310255872923
metric/the_pile_uspto_backgrounds_val_loss,A10_A11,0.0370681110953889,False,1.3288868865419698
loss_mean_13_domains,A10_A11,0.0629933711481762,False,2.0186259286697696
metric/the_pile_arxiv_val_loss,A12_A13,0.0557433137591298,False,1.678023589192607
metric/the_pile_freelaw_val_loss,A12_A13,-0.048661765867521,True,-1.3885667729798257
metric/the_pile_pubmed_central_val_loss,A12_A13,0.0469552774861843,False,1.3757756342476049
metric/the_pile_wikipedia_en_val_loss,A12_A13,-0.0062864624804008,True,-0.1616326540017157
metric/the_pile_dm_mathematics_val_loss,A12_A13,0.1893979662302012,False,7.317468331264259
metric/the_pile_github_val_loss,A12_A13,0.0371177351461207,False,1.0199734232636597
metric/the_pile_stackexchange_val_loss,A12_A13,0.0111768029431873,False,0.3126510511080182
metric/the_pile_gutenberg_pg_19_val_loss,A12_A13,-0.0442983383650927,True,-1.2179678103581273
metric/the_pile_pile_cc_val_loss,A12_A13,-0.0004493628233839,True,-0.0118053886376243
metric/the_pile_ubuntu_irc_val_loss,A12_A13,0.119572558100871,False,2.761584699884389
metric/the_pile_hackernews_val_loss,A12_A13,-0.011260719259563,True,-0.3132583978448916
metric/the_pile_pubmed_abstracts_val_loss,A12_A13,0.0607713057948453,False,1.69647482400713
metric/the_pile_uspto_backgrounds_val_loss,A12_A13,0.0144811523202883,False,0.4221890909263205
loss_mean_13_domains,A12_A13,0.0286519612990243,False,0.8070279656195349
metric/the_pile_arxiv_val_loss,A14_A15,0.0644177253684121,False,1.7510377158005408
metric/the_pile_freelaw_val_loss,A14_A15,-0.0437346306600008,True,-1.1297708025065751
metric/the_pile_pubmed_central_val_loss,A14_A15,0.052104073655177,False,1.3793524820405108
metric/the_pile_wikipedia_en_val_loss,A14_A15,-0.0048771689764208,True,-0.1133887914465869
metric/the_pile_dm_mathematics_val_loss,A14_A15,0.2027880516454061,False,7.080895832679494
metric/the_pile_github_val_loss,A14_A15,0.0391557949750502,False,0.973840008949686
metric/the_pile_stackexchange_val_loss,A14_A15,0.0128991579700401,False,0.326602552462567
