epsilon,dataset,mean_nearest_distance,median_nearest_distance
1e-06,A4_A5_train_1m,0.0,0.0
1e-06,A6_A7_test_1m,14.448110785083621,14.682054260163046
1e-06,A8_A9_test_60m,14.448110785083621,14.682054260163046
1e-06,A10_A11_test_1b,12.51974299580636,12.898515939054793
1e-06,A12_A13_est_10b,0.0,0.0
1e-06,A14_A15_est_70b,0.0,0.0
1e-05,A4_A5_train_1m,0.0,0.0
1e-05,A6_A7_test_1m,11.488078787152418,11.643579686986184
1e-05,A8_A9_test_60m,11.488078787152418,11.643579686986184
1e-05,A10_A11_test_1b,10.182457174155813,10.653875700701636
1e-05,A12_A13_est_10b,0.0,0.0
1e-05,A14_A15_est_70b,0.0,0.0
0.0001,A4_A5_train_1m,0.0,0.0
0.0001,A6_A7_test_1m,8.4536843395462,8.586098243407042
0.0001,A8_A9_test_60m,8.4536843395462,8.586098243407042
0.0001,A10_A11_test_1b,7.830872186596627,8.100303209332038
0.0001,A12_A13_est_10b,0.0,0.0
0.0001,A14_A15_est_70b,0.0,0.0
