block,dataset,role,target,delta_r2_vs_p_only,delta_mae_vs_p_only,delta_rmse_vs_p_only,delta_mean_residual_vs_p_only,target_label
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_arxiv_val_loss,0.0010144842162251,-0.0004720460656102,-0.0010909519136051,-1.9775847626135598e-16,ArXiv
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_freelaw_val_loss,0.0127640350860774,-0.0103192662258334,-0.0134334861876369,-1.3183898417423734e-16,FreeLaw
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_pubmed_central_val_loss,0.0165153327857628,-0.0134087817253805,-0.016317233447889,-4.735795089416683e-16,PubMed C.
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_wikipedia_en_val_loss,0.0225986221395244,-0.0093473324025755,-0.013123926666114,1.4224732503009818e-16,Wikipedia
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_dm_mathematics_val_loss,0.0020513459914355,-0.0044520456432278,-0.0036767024465721,-6.852157730108388e-17,DM Math
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_github_val_loss,0.0121825493525477,-0.0098148165845615,-0.0132864919212907,-6.03683769639929e-16,GitHub
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_stackexchange_val_loss,0.0076122448521136,-0.0025093192989751,-0.005882772954297,7.28583859910259e-17,StackEx.
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_gutenberg_pg_19_val_loss,0.0089046880749761,-0.0013538943961109,-0.0034450933130154,1.0755285551056204e-16,Gutenberg
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_pile_cc_val_loss,0.0475671478618433,-0.0116457874649272,-0.0141444485987692,-1.1449174941446927e-16,Pile-CC
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_ubuntu_irc_val_loss,0.000565858620748,-0.002021027218121,-0.0006501376838076,4.8572257327350605e-17,Ubuntu IRC
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_hackernews_val_loss,0.0113766669734153,-0.0027190330524704,-0.0033316199532125,-9.020562075079396e-17,HackerNews
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_pubmed_abstracts_val_loss,0.0848250134285103,-0.0385336288425417,-0.0444540592592921,-3.8337388819087437e-16,PubMed abs.
p_q_raw_coverage,A4_A5_train_1m,fit,metric/the_pile_uspto_backgrounds_val_loss,0.0418713872611709,-0.0214599719392727,-0.0258695025702987,7.979727989493313e-17,USPTO
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_arxiv_val_loss,-0.0040502749832108,0.0016128326272489,0.0031732427836461,0.0014151682899919,ArXiv
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_freelaw_val_loss,0.0159650724947069,-0.0144201307380942,-0.0146965409056523,0.0029373005773459,FreeLaw
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_pubmed_central_val_loss,0.0142805971741044,-0.0086459119710843,-0.0162965542118617,0.0058971634471398,PubMed C.
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_wikipedia_en_val_loss,0.0201059149949951,-0.0103687410005224,-0.0125137938065322,0.0006276108250623,Wikipedia
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_dm_mathematics_val_loss,0.0011816958205698,-0.0060882852227803,-0.002330017962758,0.0038506575935398,DM Math
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_github_val_loss,0.018368770369901,-0.0183446386967692,-0.0169297422427509,-0.0023556433090711,GitHub
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_stackexchange_val_loss,0.005751059749383,-0.0060815725556525,-0.0035089173226377,-0.0023267203598063,StackEx.
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_gutenberg_pg_19_val_loss,0.0047145410393421,-0.0031003022760302,-0.0019909806771839,0.0004698561163067,Gutenberg
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_pile_cc_val_loss,0.0424726889214351,-0.011492307561265,-0.0125284856146065,-2.3377239193211885e-05,Pile-CC
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_ubuntu_irc_val_loss,-0.001466765831756,0.0019456608859022,0.0017211424685964,0.0001018126680944,Ubuntu IRC
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_hackernews_val_loss,0.0010808443123444,-0.0015264235864745,-0.0003207848282,-0.0005143184140039,HackerNews
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_pubmed_abstracts_val_loss,0.0710332355954341,-0.0263270779613336,-0.038980251844711,0.0086656682213859,PubMed abs.
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_uspto_backgrounds_val_loss,0.032140130276818,-0.014306476734905,-0.0203081519038957,0.0052855957544356,USPTO
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_arxiv_val_loss,-0.0151812891725295,-0.0014151682899918,0.0014067872781811,0.0014151682899918,ArXiv
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_freelaw_val_loss,0.0338887403404326,-0.0029373005773458,-0.0050193412924735,0.0029373005773458,FreeLaw
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_pubmed_central_val_loss,0.0500491195853634,-0.0058971634471398,-0.0045488422146278,0.0058971634471398,PubMed C.
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_wikipedia_en_val_loss,0.017462243828362,-0.0006276108250622,-0.0015575455938423,0.0006276108250622,Wikipedia
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_dm_mathematics_val_loss,-0.0670768696152128,0.0050341391160293,0.0126336367626589,0.0038506575935399,DM Math
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_github_val_loss,-0.0202193984470557,0.0023556433090714,0.0018587760973769,-0.0023556433090714,GitHub
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_stackexchange_val_loss,-0.023408713377222,0.0023267203598063,0.0021096910626743,-0.0023267203598063,StackEx.
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_gutenberg_pg_19_val_loss,0.009764986134984,-0.0004698561163067,-0.0007076374609911,0.0004698561163067,Gutenberg
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_pile_cc_val_loss,0.0354330530764439,2.3377239193100863e-05,-0.0015762184977532,-2.3377239193100863e-05,Pile-CC
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_ubuntu_irc_val_loss,-0.0266057343166519,-0.000101812668094,0.0031652650356743,0.000101812668094,Ubuntu IRC
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_hackernews_val_loss,-0.0152722074602067,0.0005143184140037,0.0007059996861626,-0.0005143184140037,HackerNews
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_pubmed_abstracts_val_loss,0.1482258403023273,-0.0086656682213859,-0.0156564458971935,0.0086656682213859,PubMed abs.
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,0.0998400420408511,-0.0052855957544353,-0.0065610433314571,0.0052855957544353,USPTO
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_arxiv_val_loss,7.837715351967972,-0.0181952520680566,-0.0174041323364906,0.0181952520680566,ArXiv
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_freelaw_val_loss,4.783159021997392,-0.0159285734102083,-0.0154897484547165,0.0159285734102083,FreeLaw
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_pubmed_central_val_loss,21.01805321025722,-0.0108500101505075,-0.0103791364663314,0.0108500101505075,PubMed C.
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_wikipedia_en_val_loss,6.876390570054355,-0.0293300317422149,-0.0278553407856358,0.0293300317422149,Wikipedia
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_dm_mathematics_val_loss,-2.4896067335818373,0.030347666912148,0.0382821249954079,-0.030347666912148,DM Math
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_github_val_loss,-4.356998925975859,0.0062095093992389,0.0083751801406237,-0.0062095093992389,GitHub
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_stackexchange_val_loss,2.663852022849369,-0.0081857955246822,-0.0071962164407697,0.0081857955246822,StackEx.
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_gutenberg_pg_19_val_loss,1.1403421990733449,-0.0128994665880366,-0.0124174588684908,0.0128994665880366,Gutenberg
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_pile_cc_val_loss,14.149855052171802,-0.0278241558357699,-0.0274508738997942,0.0278241558357699,Pile-CC
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_ubuntu_irc_val_loss,-0.5427968089756376,0.0086959139030193,0.0109519064607308,-0.0086959139030193,Ubuntu IRC
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_hackernews_val_loss,1.4987568410355436,-0.0122103976543557,-0.0121656050599385,0.0122103976543557,HackerNews
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_pubmed_abstracts_val_loss,4.292291794051266,-0.009247092952906,-0.009771945354478,0.009247092952906,PubMed abs.
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,3.676260874281468,-0.0142438812079817,-0.0134385719699481,0.0142438812079817,USPTO
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_arxiv_val_loss,0.0540838092010318,-0.0033974148068334,-0.0007520359182837,0.0033974148068334,ArXiv
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_freelaw_val_loss,0.7461361601453262,-0.014200271918566,-0.0101678374380882,0.014200271918566,FreeLaw
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_pubmed_central_val_loss,1.405657139621269,-0.0146806430877113,-0.0126276517438959,0.0146806430877113,PubMed C.
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_wikipedia_en_val_loss,0.9508674903078712,-0.0091110965511953,-0.0065497292172569,0.0091110965511953,Wikipedia
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_dm_mathematics_val_loss,-0.1639162649707728,0.0009344236094164,0.0051687482625188,-0.0001653577653919,DM Math
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_github_val_loss,-1.714930949876134,0.0173197163628788,0.0176719007324881,-0.0173197163628788,GitHub
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_stackexchange_val_loss,-1.996648184682158,0.0092330228872725,0.0100957905067882,-0.0092330228872725,StackEx.
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_gutenberg_pg_19_val_loss,0.8456719552581831,-0.0060988990261816,-0.0054249148707397,0.0060988990261816,Gutenberg
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_pile_cc_val_loss,1.0546199481880194,-0.0066779388259021,-0.0061254590133295,0.0066779388259021,Pile-CC
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_ubuntu_irc_val_loss,-0.2665674416556101,0.0008267086042463,0.002841395717942,-0.0008267086042463,Ubuntu IRC
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_hackernews_val_loss,0.4307610136977473,-0.00204722652914,-0.0017608480116324,0.00204722652914,HackerNews
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_pubmed_abstracts_val_loss,3.41115071829563,-0.0242657643350767,-0.0218321472807248,0.0242657643350767,PubMed abs.
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,1.9907268469889343,-0.0163623131338925,-0.0145569259010169,0.0163623131338925,USPTO
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_arxiv_val_loss,0.1082751676969451,-0.0033974148068338,-0.0008309228766445,0.0033974148068338,ArXiv
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_freelaw_val_loss,1.1558550436528776,-0.0142002719185652,-0.0101496843761559,0.0142002719185652,FreeLaw
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_pubmed_central_val_loss,2.3192148529207657,-0.0146806430877126,-0.0125643274128455,0.0146806430877126,PubMed C.
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_wikipedia_en_val_loss,1.2949042987767143,-0.0091110965511953,-0.006582782492452,0.0091110965511953,Wikipedia
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_dm_mathematics_val_loss,-0.3166177268924173,0.0009344236094159,0.0052545424926191,-0.0001653577653915,DM Math
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_github_val_loss,-3.0280951869581827,0.0173197163628788,0.0178289735102668,-0.0173197163628788,GitHub
