direction_id,to_index,from_index,to_domain,from_domain,simplex_limit,hull_limit,safe_hull_limit,safe_hull_limit_pp,lp_status,lp_objective,lp_dual_objective,lp_duality_gap,delta_upper_price,safe_min_weight,observed_joint_support
00_from_01,0,1,arxiv,freelaw,0.09682483215202778,0.09682483215202778,0.0958565838305075,9.58565838305075,0,-0.09682483215202778,-0.09682483215202778,0.0,-1.0,1.9531250000000017e-05,False
00_from_02,0,2,arxiv,nih_exporter,0.005889680217095936,0.005889680217095936,0.005830783414924977,0.5830783414924977,0,-0.005889680217095936,-0.005889680217095936,0.0,-1.0,1.9531250000000017e-05,False
00_from_03,0,3,arxiv,pubmed_central,0.11375419105058356,0.11375419105058356,0.11261664914007771,11.26166491400777,0,-0.11375419105058356,-0.11375419105058356,0.0,-1.0,1.9531250000000017e-05,False
00_from_04,0,4,arxiv,wikipedia_en,0.07507775607983627,0.07507775607983627,0.07432697851903791,7.432697851903791,0,-0.07507775607983627,-0.07507775607983627,0.0,-1.0,1.9531250000000017e-05,False
00_from_05,0,5,arxiv,dm_mathematics,0.025462854097050385,0.025462854097050385,0.02520822555607988,2.520822555607988,0,-0.025462854097050385,-0.025462854097050385,0.0,-1.0,1.9531250000000017e-05,False
00_from_06,0,6,arxiv,github,0.11070066007050916,0.11070066007050916,0.10959365346980407,10.959365346980407,0,-0.11070066007050916,-0.11070066007050916,0.0,-1.0,1.9531250000000017e-05,False
00_from_07,0,7,arxiv,philpapers,0.005487697351193022,0.005487697351193022,0.005432820377681092,0.5432820377681091,0,-0.005487697351193022,-0.005487697351193022,0.0,-1.0,1.9531250000000017e-05,False
00_from_08,0,8,arxiv,stackexchange,0.09943242344413017,0.09943242344413017,0.09843809920968886,9.843809920968887,0,-0.09943242344413017,-0.09943242344413017,0.0,-1.0,1.9531250000000017e-05,False
00_from_09,0,9,arxiv,enron_emails,0.0022110330434062142,0.0022110330434062142,0.002188922712972152,0.2188922712972152,0,-0.0022110330434062142,-0.0022110330434062142,0.0,-1.0,1.9531250000000017e-05,False
00_from_10,0,10,arxiv,gutenberg_pg_19,0.04691494424753535,0.04691494424753535,0.046445794805059996,4.644579480506,0,-0.04691494424753535,-0.04691494424753535,0.0,-1.0,1.9531250000000017e-05,False
00_from_11,0,11,arxiv,pile_cc,0.11948759779188559,0.11948759779188559,0.11829272181396673,11.829272181396673,0,-0.11948759779188559,-0.11948759779188559,0.0,-1.0,1.9531250000000017e-05,False
00_from_12,0,12,arxiv,ubuntu_irc,0.019599998284005875,0.019599998284005875,0.019403998301165817,1.9403998301165817,0,-0.019599998284005875,-0.019599998284005875,0.0,-1.0,1.9531250000000017e-05,False
00_from_13,0,13,arxiv,europarl,0.012737064754031515,0.012737064754031515,0.0126096941064912,1.26096941064912,0,-0.012737064754031515,-0.012737064754031515,0.0,-1.0,1.9531250000000017e-05,False
00_from_14,0,14,arxiv,hackernews,0.01165082237810866,0.01165082237810866,0.011534314154327574,1.1534314154327574,0,-0.01165082237810866,-0.01165082237810866,0.0,-1.0,1.9531250000000017e-05,False
00_from_15,0,15,arxiv,pubmed_abstracts,0.0661811661125716,0.0661811661125716,0.06551935445144588,6.551935445144588,0,-0.0661811661125716,-0.0661811661125716,0.0,-1.0,1.9531250000000017e-05,False
00_from_16,0,16,arxiv,uspto_backgrounds,0.07556475309333585,0.07556475309333585,0.07480910556240249,7.480910556240248,0,-0.07556475309333585,-0.07556475309333585,0.0,-1.0,1.9531250000000017e-05,False
01_from_00,1,0,freelaw,arxiv,0.11302252583269276,0.11302252583269276,0.11189230057436583,11.189230057436584,0,-0.11302252583269276,-0.11302252583269276,0.0,-1.0,1.9531250000000017e-05,False
01_from_02,1,2,freelaw,nih_exporter,0.005889680217095936,0.005889680217095936,0.005830783414924977,0.5830783414924977,0,-0.005889680217095936,-0.005889680217095936,0.0,-1.0,1.9531250000000017e-05,False
01_from_03,1,3,freelaw,pubmed_central,0.11375419105058356,0.11375419105058356,0.11261664914007771,11.26166491400777,0,-0.11375419105058356,-0.11375419105058356,0.0,-1.0,1.9531250000000017e-05,False
01_from_04,1,4,freelaw,wikipedia_en,0.07507775607983627,0.07507775607983627,0.07432697851903791,7.432697851903791,0,-0.07507775607983627,-0.07507775607983627,0.0,-1.0,1.9531250000000017e-05,False
01_from_05,1,5,freelaw,dm_mathematics,0.025462854097050385,0.025462854097050385,0.02520822555607988,2.520822555607988,0,-0.025462854097050385,-0.025462854097050385,0.0,-1.0,1.9531250000000017e-05,False
01_from_06,1,6,freelaw,github,0.11070066007050916,0.11070066007050916,0.10959365346980407,10.959365346980407,0,-0.11070066007050916,-0.11070066007050916,0.0,-1.0,1.9531250000000017e-05,False
01_from_07,1,7,freelaw,philpapers,0.005487697351193022,0.005487697351193022,0.005432820377681092,0.5432820377681091,0,-0.005487697351193022,-0.005487697351193022,0.0,-1.0,1.9531250000000017e-05,False
01_from_08,1,8,freelaw,stackexchange,0.09943242344413017,0.09943242344413017,0.09843809920968886,9.843809920968887,0,-0.09943242344413017,-0.09943242344413017,0.0,-1.0,1.9531250000000017e-05,False
01_from_09,1,9,freelaw,enron_emails,0.0022110330434062142,0.0022110330434062142,0.002188922712972152,0.2188922712972152,0,-0.0022110330434062142,-0.0022110330434062142,0.0,-1.0,1.9531250000000017e-05,False
01_from_10,1,10,freelaw,gutenberg_pg_19,0.04691494424753535,0.04691494424753535,0.046445794805059996,4.644579480506,0,-0.04691494424753535,-0.04691494424753535,0.0,-1.0,1.9531250000000017e-05,False
01_from_11,1,11,freelaw,pile_cc,0.11948759779188559,0.11948759779188559,0.11829272181396673,11.829272181396673,0,-0.11948759779188559,-0.11948759779188559,0.0,-1.0,1.9531250000000017e-05,False
01_from_12,1,12,freelaw,ubuntu_irc,0.019599998284005875,0.019599998284005875,0.019403998301165817,1.9403998301165817,0,-0.019599998284005875,-0.019599998284005875,0.0,-1.0,1.9531250000000017e-05,False
01_from_13,1,13,freelaw,europarl,0.012737064754031515,0.012737064754031515,0.0126096941064912,1.26096941064912,0,-0.012737064754031515,-0.012737064754031515,0.0,-1.0,1.9531250000000017e-05,False
01_from_14,1,14,freelaw,hackernews,0.01165082237810866,0.01165082237810866,0.011534314154327574,1.1534314154327574,0,-0.01165082237810866,-0.01165082237810866,0.0,-1.0,1.9531250000000017e-05,False
01_from_15,1,15,freelaw,pubmed_abstracts,0.0661811661125716,0.0661811661125716,0.06551935445144588,6.551935445144588,0,-0.0661811661125716,-0.0661811661125716,0.0,-1.0,1.9531250000000017e-05,False
01_from_16,1,16,freelaw,uspto_backgrounds,0.07556475309333585,0.07556475309333585,0.07480910556240249,7.480910556240248,0,-0.07556475309333585,-0.07556475309333585,0.0,-1.0,1.9531250000000017e-05,False
02_from_00,2,0,nih_exporter,arxiv,0.11302252583269276,0.03997091767627015,0.03957120849950745,3.957120849950745,0,-0.03997091767627015,-0.03997091767627013,2.0816681711721685e-17,0.0,1.9531250000000017e-05,False
02_from_01,2,1,nih_exporter,freelaw,0.09682483215202778,0.041406127061714454,0.04099206579109731,4.0992065791097305,0,-0.041406127061714454,-0.04140612706171446,6.938893903907228e-18,0.0,1.9531250000000017e-05,False
02_from_03,2,3,nih_exporter,pubmed_central,0.11375419105058356,0.04244505368496613,0.04202060314811647,4.202060314811646,0,-0.04244505368496613,-0.042445053684966136,6.938893903907228e-18,0.0,1.9531250000000017e-05,False
02_from_04,2,4,nih_exporter,wikipedia_en,0.07507775607983627,0.04072238380923517,0.04031515997114282,4.031515997114282,0,-0.04072238380923517,-0.04072238380923515,2.0816681711721685e-17,0.0,1.9531250000000017e-05,False
02_from_05,2,5,nih_exporter,dm_mathematics,0.025462854097050385,0.025462854097050385,0.02520822555607988,2.520822555607988,0,-0.025462854097050385,-0.025462854097050385,0.0,-1.0,1.9531250000000017e-05,False
02_from_06,2,6,nih_exporter,github,0.11070066007050916,0.04175254228312589,0.04133501686029463,4.133501686029463,0,-0.04175254228312589,-0.041752542283125874,1.3877787807814457e-17,0.0,1.9531250000000017e-05,False
02_from_07,2,7,nih_exporter,philpapers,0.005487697351193022,0.005487697351193022,0.005432820377681092,0.5432820377681091,0,-0.005487697351193022,-0.005487697351193022,0.0,-1.0,1.9531250000000017e-05,False
02_from_08,2,8,nih_exporter,stackexchange,0.09943242344413017,0.04183344974916843,0.041415115251676744,4.141511525167674,0,-0.04183344974916843,-0.04183344974916842,6.938893903907228e-18,0.0,1.9531250000000017e-05,False
02_from_09,2,9,nih_exporter,enron_emails,0.0022110330434062142,0.0022110330434062142,0.002188922712972152,0.2188922712972152,0,-0.0022110330434062142,-0.0022110330434062142,0.0,-1.0,1.9531250000000017e-05,False
02_from_10,2,10,nih_exporter,gutenberg_pg_19,0.04691494424753535,0.037432681092901855,0.037058354281972836,3.7058354281972834,0,-0.037432681092901855,-0.03743268109290185,6.938893903907228e-18,0.0,1.9531250000000017e-05,False
02_from_11,2,11,nih_exporter,pile_cc,0.11948759779188559,0.041479254445255964,0.04106446190080341,4.106446190080341,0,-0.041479254445255964,-0.04147925444525599,2.7755575615628914e-17,0.0,1.9531250000000017e-05,False
02_from_12,2,12,nih_exporter,ubuntu_irc,0.019599998284005875,0.019599998284005875,0.019403998301165817,1.9403998301165817,0,-0.019599998284005875,-0.019599998284005875,0.0,-1.0,1.9531250000000017e-05,False
02_from_13,2,13,nih_exporter,europarl,0.012737064754031515,0.012737064754031515,0.0126096941064912,1.26096941064912,0,-0.012737064754031515,-0.012737064754031515,0.0,-1.0,1.9531250000000017e-05,False
02_from_14,2,14,nih_exporter,hackernews,0.01165082237810866,0.01165082237810866,0.011534314154327574,1.1534314154327574,0,-0.01165082237810866,-0.01165082237810866,0.0,-1.0,1.9531250000000017e-05,False
02_from_15,2,15,nih_exporter,pubmed_abstracts,0.0661811661125716,0.040027127600287774,0.03962685632428489,3.962685632428489,0,-0.040027127600287774,-0.04002712760028773,4.163336342344337e-17,0.0,1.9531250000000017e-05,False
02_from_16,2,16,nih_exporter,uspto_backgrounds,0.07556475309333585,0.04162867250252609,0.041212385777500825,4.121238577750082,0,-0.04162867250252609,-0.04162867250252612,3.469446951953614e-17,0.0,1.9531250000000017e-05,False
03_from_00,3,0,pubmed_central,arxiv,0.11302252583269276,0.11302252583269276,0.11189230057436583,11.189230057436584,0,-0.11302252583269276,-0.11302252583269276,0.0,-1.0,1.9531250000000017e-05,False
03_from_01,3,1,pubmed_central,freelaw,0.09682483215202778,0.09682483215202778,0.0958565838305075,9.58565838305075,0,-0.09682483215202778,-0.09682483215202778,0.0,-1.0,1.9531250000000017e-05,False
03_from_02,3,2,pubmed_central,nih_exporter,0.005889680217095936,0.005889680217095936,0.005830783414924977,0.5830783414924977,0,-0.005889680217095936,-0.005889680217095936,0.0,-1.0,1.9531250000000017e-05,False
03_from_04,3,4,pubmed_central,wikipedia_en,0.07507775607983627,0.07507775607983627,0.07432697851903791,7.432697851903791,0,-0.07507775607983627,-0.07507775607983627,0.0,-1.0,1.9531250000000017e-05,False
03_from_05,3,5,pubmed_central,dm_mathematics,0.025462854097050385,0.025462854097050385,0.02520822555607988,2.520822555607988,0,-0.025462854097050385,-0.025462854097050385,0.0,-1.0,1.9531250000000017e-05,False
03_from_06,3,6,pubmed_central,github,0.11070066007050916,0.11070066007050916,0.10959365346980407,10.959365346980407,0,-0.11070066007050916,-0.11070066007050916,0.0,-1.0,1.9531250000000017e-05,False
03_from_07,3,7,pubmed_central,philpapers,0.005487697351193022,0.005487697351193022,0.005432820377681092,0.5432820377681091,0,-0.005487697351193022,-0.005487697351193022,0.0,-1.0,1.9531250000000017e-05,False
03_from_08,3,8,pubmed_central,stackexchange,0.09943242344413017,0.09943242344413017,0.09843809920968886,9.843809920968887,0,-0.09943242344413017,-0.09943242344413017,0.0,-1.0,1.9531250000000017e-05,False
03_from_09,3,9,pubmed_central,enron_emails,0.0022110330434062142,0.0022110330434062142,0.002188922712972152,0.2188922712972152,0,-0.0022110330434062142,-0.0022110330434062142,0.0,-1.0,1.9531250000000017e-05,False
03_from_10,3,10,pubmed_central,gutenberg_pg_19,0.04691494424753535,0.04691494424753535,0.046445794805059996,4.644579480506,0,-0.04691494424753535,-0.04691494424753535,0.0,-1.0,1.9531250000000017e-05,False
03_from_11,3,11,pubmed_central,pile_cc,0.11948759779188559,0.11948759779188559,0.11829272181396673,11.829272181396673,0,-0.11948759779188559,-0.11948759779188559,0.0,-1.0,1.9531250000000017e-05,False
03_from_12,3,12,pubmed_central,ubuntu_irc,0.019599998284005875,0.019599998284005875,0.019403998301165817,1.9403998301165817,0,-0.019599998284005875,-0.019599998284005875,0.0,-1.0,1.9531250000000017e-05,False
03_from_13,3,13,pubmed_central,europarl,0.012737064754031515,0.012737064754031515,0.0126096941064912,1.26096941064912,0,-0.012737064754031515,-0.012737064754031515,0.0,-1.0,1.9531250000000017e-05,False
03_from_14,3,14,pubmed_central,hackernews,0.01165082237810866,0.01165082237810866,0.011534314154327574,1.1534314154327574,0,-0.01165082237810866,-0.01165082237810866,0.0,-1.0,1.9531250000000017e-05,False
03_from_15,3,15,pubmed_central,pubmed_abstracts,0.0661811661125716,0.0661811661125716,0.06551935445144588,6.551935445144588,0,-0.0661811661125716,-0.0661811661125716,0.0,-1.0,1.9531250000000017e-05,False
03_from_16,3,16,pubmed_central,uspto_backgrounds,0.07556475309333585,0.07556475309333585,0.07480910556240249,7.480910556240248,0,-0.07556475309333585,-0.07556475309333585,0.0,-1.0,1.9531250000000017e-05,False
04_from_00,4,0,wikipedia_en,arxiv,0.11302252583269276,0.11302252583269276,0.11189230057436583,11.189230057436584,0,-0.11302252583269276,-0.11302252583269276,0.0,-1.0,1.9531250000000017e-05,False
04_from_01,4,1,wikipedia_en,freelaw,0.09682483215202778,0.09682483215202778,0.0958565838305075,9.58565838305075,0,-0.09682483215202778,-0.09682483215202778,0.0,-1.0,1.9531250000000017e-05,False
04_from_02,4,2,wikipedia_en,nih_exporter,0.005889680217095936,0.005889680217095936,0.005830783414924977,0.5830783414924977,0,-0.005889680217095936,-0.005889680217095936,0.0,-1.0,1.9531250000000017e-05,False
04_from_03,4,3,wikipedia_en,pubmed_central,0.11375419105058356,0.11375419105058356,0.11261664914007771,11.26166491400777,0,-0.11375419105058356,-0.11375419105058356,0.0,-1.0,1.9531250000000017e-05,False
04_from_05,4,5,wikipedia_en,dm_mathematics,0.025462854097050385,0.025462854097050385,0.02520822555607988,2.520822555607988,0,-0.025462854097050385,-0.025462854097050385,0.0,-1.0,1.9531250000000017e-05,False
04_from_06,4,6,wikipedia_en,github,0.11070066007050916,0.11070066007050916,0.10959365346980407,10.959365346980407,0,-0.11070066007050916,-0.11070066007050916,0.0,-1.0,1.9531250000000017e-05,False
04_from_07,4,7,wikipedia_en,philpapers,0.005487697351193022,0.005487697351193022,0.005432820377681092,0.5432820377681091,0,-0.005487697351193022,-0.005487697351193022,0.0,-1.0,1.9531250000000017e-05,False
04_from_08,4,8,wikipedia_en,stackexchange,0.09943242344413017,0.09943242344413017,0.09843809920968886,9.843809920968887,0,-0.09943242344413017,-0.09943242344413017,0.0,-1.0,1.9531250000000017e-05,False
04_from_09,4,9,wikipedia_en,enron_emails,0.0022110330434062142,0.0022110330434062142,0.002188922712972152,0.2188922712972152,0,-0.0022110330434062142,-0.0022110330434062142,0.0,-1.0,1.9531250000000017e-05,False
04_from_10,4,10,wikipedia_en,gutenberg_pg_19,0.04691494424753535,0.04691494424753535,0.046445794805059996,4.644579480506,0,-0.04691494424753535,-0.04691494424753535,0.0,-1.0,1.9531250000000017e-05,False
04_from_11,4,11,wikipedia_en,pile_cc,0.11948759779188559,0.11948759779188559,0.11829272181396673,11.829272181396673,0,-0.11948759779188559,-0.11948759779188559,0.0,-1.0,1.9531250000000017e-05,False
04_from_12,4,12,wikipedia_en,ubuntu_irc,0.019599998284005875,0.019599998284005875,0.019403998301165817,1.9403998301165817,0,-0.019599998284005875,-0.019599998284005875,0.0,-1.0,1.9531250000000017e-05,False
04_from_13,4,13,wikipedia_en,europarl,0.012737064754031515,0.012737064754031515,0.0126096941064912,1.26096941064912,0,-0.012737064754031515,-0.012737064754031515,0.0,-1.0,1.9531250000000017e-05,False
04_from_14,4,14,wikipedia_en,hackernews,0.01165082237810866,0.01165082237810866,0.011534314154327574,1.1534314154327574,0,-0.01165082237810866,-0.01165082237810866,0.0,-1.0,1.9531250000000017e-05,False
04_from_15,4,15,wikipedia_en,pubmed_abstracts,0.0661811661125716,0.0661811661125716,0.06551935445144588,6.551935445144588,0,-0.0661811661125716,-0.0661811661125716,0.0,-1.0,1.9531250000000017e-05,False
04_from_16,4,16,wikipedia_en,uspto_backgrounds,0.07556475309333585,0.07556475309333585,0.07480910556240249,7.480910556240248,0,-0.07556475309333585,-0.07556475309333585,0.0,-1.0,1.9531250000000017e-05,False
05_from_00,5,0,dm_mathematics,arxiv,0.11302252583269276,0.11302252583269276,0.11189230057436583,11.189230057436584,0,-0.11302252583269276,-0.11302252583269276,0.0,-1.0,1.9531250000000017e-05,False
05_from_01,5,1,dm_mathematics,freelaw,0.09682483215202778,0.09682483215202778,0.0958565838305075,9.58565838305075,0,-0.09682483215202778,-0.09682483215202778,0.0,-1.0,1.9531250000000017e-05,False
05_from_02,5,2,dm_mathematics,nih_exporter,0.005889680217095936,0.005889680217095936,0.005830783414924977,0.5830783414924977,0,-0.005889680217095936,-0.005889680217095936,0.0,-1.0,1.9531250000000017e-05,False
05_from_03,5,3,dm_mathematics,pubmed_central,0.11375419105058356,0.11338744545108069,0.11225357099656988,11.225357099656987,0,-0.11338744545108069,-0.1133874454510807,1.3877787807814457e-17,0.0,1.9531250000000017e-05,False
05_from_04,5,4,dm_mathematics,wikipedia_en,0.07507775607983627,0.07507775607983627,0.07432697851903791,7.432697851903791,0,-0.07507775607983627,-0.07507775607983627,0.0,-1.0,1.9531250000000017e-05,False
05_from_06,5,6,dm_mathematics,github,0.11070066007050916,0.11070066007050916,0.10959365346980407,10.959365346980407,0,-0.11070066007050916,-0.11070066007050916,0.0,-1.0,1.9531250000000017e-05,False
05_from_07,5,7,dm_mathematics,philpapers,0.005487697351193022,0.005487697351193022,0.005432820377681092,0.5432820377681091,0,-0.005487697351193022,-0.005487697351193022,0.0,-1.0,1.9531250000000017e-05,False
05_from_08,5,8,dm_mathematics,stackexchange,0.09943242344413017,0.09943242344413017,0.09843809920968886,9.843809920968887,0,-0.09943242344413017,-0.09943242344413017,0.0,-1.0,1.9531250000000017e-05,False
05_from_09,5,9,dm_mathematics,enron_emails,0.0022110330434062142,0.0022110330434062142,0.002188922712972152,0.2188922712972152,0,-0.0022110330434062142,-0.0022110330434062142,0.0,-1.0,1.9531250000000017e-05,False
05_from_10,5,10,dm_mathematics,gutenberg_pg_19,0.04691494424753535,0.04691494424753535,0.046445794805059996,4.644579480506,0,-0.04691494424753535,-0.04691494424753535,0.0,-1.0,1.9531250000000017e-05,False
05_from_11,5,11,dm_mathematics,pile_cc,0.11948759779188559,0.11948759779188559,0.11829272181396673,11.829272181396673,0,-0.11948759779188559,-0.11948759779188559,0.0,-1.0,1.9531250000000017e-05,False
05_from_12,5,12,dm_mathematics,ubuntu_irc,0.019599998284005875,0.019599998284005875,0.019403998301165817,1.9403998301165817,0,-0.019599998284005875,-0.019599998284005875,0.0,-1.0,1.9531250000000017e-05,False
05_from_13,5,13,dm_mathematics,europarl,0.012737064754031515,0.012737064754031515,0.0126096941064912,1.26096941064912,0,-0.012737064754031515,-0.012737064754031515,0.0,-1.0,1.9531250000000017e-05,False
05_from_14,5,14,dm_mathematics,hackernews,0.01165082237810866,0.01165082237810866,0.011534314154327574,1.1534314154327574,0,-0.01165082237810866,-0.01165082237810866,0.0,-1.0,1.9531250000000017e-05,False
05_from_15,5,15,dm_mathematics,pubmed_abstracts,0.0661811661125716,0.0661811661125716,0.06551935445144588,6.551935445144588,0,-0.0661811661125716,-0.0661811661125716,0.0,-1.0,1.9531250000000017e-05,False
05_from_16,5,16,dm_mathematics,uspto_backgrounds,0.07556475309333585,0.07556475309333585,0.07480910556240249,7.480910556240248,0,-0.07556475309333585,-0.07556475309333585,0.0,-1.0,1.9531250000000017e-05,False
06_from_00,6,0,github,arxiv,0.11302252583269276,0.11302252583269276,0.11189230057436583,11.189230057436584,0,-0.11302252583269276,-0.11302252583269276,0.0,-1.0,1.9531250000000017e-05,False
06_from_01,6,1,github,freelaw,0.09682483215202778,0.09682483215202778,0.0958565838305075,9.58565838305075,0,-0.09682483215202778,-0.09682483215202778,0.0,-1.0,1.9531250000000017e-05,False
06_from_02,6,2,github,nih_exporter,0.005889680217095936,0.005889680217095936,0.005830783414924977,0.5830783414924977,0,-0.005889680217095936,-0.005889680217095936,0.0,-1.0,1.9531250000000017e-05,False
06_from_03,6,3,github,pubmed_central,0.11375419105058356,0.11375419105058356,0.11261664914007771,11.26166491400777,0,-0.11375419105058356,-0.11375419105058356,0.0,-1.0,1.9531250000000017e-05,False
