axis,cost,context,cost_coordinate,budget_lo,budget_hi,from_regime,to_regime,Q_before,Q_after
Q_A_topsis_0_1,exponential,2048,Q_B,3.162277660168379e+19,3.981071705534986e+19,no_processing,interior,0.749395747680061,0.7811650095324297
Q_A_topsis_0_1,exponential,2048,Q_B,1.5848931924611108e+20,1.995262314968883e+20,interior,quality_upper,0.9914767982757711,1.0
Q_A_topsis_0_1,exponential,4096,Q_B,3.162277660168379e+19,3.981071705534986e+19,no_processing,interior,0.749395747680061,0.7883729183662922
Q_A_topsis_0_1,exponential,4096,Q_B,1.5848931924611108e+20,1.995262314968883e+20,interior,quality_upper,0.9953427411845793,1.0
Q_A_topsis_0_1,exponential,8192,Q_B,2.511886431509572e+19,3.162277660168379e+19,no_processing,interior,0.749395747680061,0.7568416019284084
Q_A_topsis_0_1,exponential,8192,Q_B,1.2589254117941713e+20,1.5848931924611108e+20,interior,quality_upper,0.9716704902258871,1.0
Q_A_topsis_0_1,exponential,32768,Q_B,1.9952623149688828e+19,2.511886431509572e+19,no_processing,interior,0.749395747680061,0.7730353481930337
Q_A_topsis_0_1,exponential,32768,Q_B,1e+20,1.2589254117941713e+20,interior,quality_upper,0.9732905650725284,1.0
Q_A_topsis_0_1,exponential,131072,Q_B,1e+19,1.2589254117941713e+19,no_processing,interior,0.749395747680061,0.7578848882640784
Q_A_topsis_0_1,exponential,131072,Q_B,6.309573444801943e+19,7.94328234724279e+19,interior,quality_upper,0.9756816251640171,1.0
Q_A_topsis_0_1,power,2048,Q_B,6.309573444801943e+19,7.94328234724279e+19,no_processing,interior,0.749395747680061,0.8505871362013226
Q_A_topsis_0_1,power,2048,Q_B,1e+20,1.2589254117941713e+20,interior,quality_upper,0.9879365111545676,1.0
Q_A_topsis_0_1,power,4096,Q_B,6.309573444801943e+19,7.94328234724279e+19,no_processing,interior,0.749395747680061,0.8717451190471265
Q_A_topsis_0_1,power,4096,Q_B,7.94328234724279e+19,1e+20,interior,quality_upper,0.8717451190471265,1.0
Q_A_topsis_0_1,power,8192,Q_B,6.309573444801943e+19,7.94328234724279e+19,no_processing,interior,0.749395747680061,0.9052287107086533
Q_A_topsis_0_1,power,8192,Q_B,7.94328234724279e+19,1e+20,interior,quality_upper,0.9052287107086533,1.0
Q_A_topsis_0_1,power,32768,Q_B,3.981071705534986e+19,5.011872336272715e+19,no_processing,interior,0.749395747680061,0.7999930008177282
Q_A_topsis_0_1,power,32768,Q_B,6.309573444801943e+19,7.94328234724279e+19,interior,quality_upper,0.9139059376689782,1.0
Q_A_topsis_0_1,power,131072,Q_B,2.511886431509572e+19,3.162277660168379e+19,no_processing,interior,0.749395747680061,0.8388169347022204
Q_A_topsis_0_1,power,131072,Q_B,3.981071705534986e+19,5.011872336272715e+19,interior,quality_upper,0.9233302745203211,1.0
quality_score_soft_proxy_0_1,exponential,2048,Q_B,1.2589254117941713e+20,1.5848931924611108e+20,interior,quality_upper,0.9847464173594678,1.0
quality_score_soft_proxy_0_1,exponential,4096,Q_B,1.2589254117941713e+20,1.5848931924611108e+20,interior,quality_upper,0.9879872007308294,1.0
quality_score_soft_proxy_0_1,exponential,8192,Q_B,1.2589254117941713e+20,1.5848931924611108e+20,interior,quality_upper,0.9939339642087602,1.0
quality_score_soft_proxy_0_1,exponential,32768,Q_B,1e+20,1.2589254117941713e+20,interior,quality_upper,0.9931470469198656,1.0
quality_score_soft_proxy_0_1,exponential,131072,Q_B,6.309573444801943e+19,7.94328234724279e+19,interior,quality_upper,0.9916373269093902,1.0
quality_score_soft_proxy_0_1,power,2048,Q_B,6.309573444801943e+19,7.94328234724279e+19,interior,quality_upper,0.9435697826656733,1.0
quality_score_soft_proxy_0_1,power,4096,Q_B,6.309573444801943e+19,7.94328234724279e+19,interior,quality_upper,0.9516189187294303,1.0
quality_score_soft_proxy_0_1,power,8192,Q_B,6.309573444801943e+19,7.94328234724279e+19,interior,quality_upper,0.966465882371365,1.0
quality_score_soft_proxy_0_1,power,32768,Q_B,5.011872336272715e+19,6.309573444801943e+19,interior,quality_upper,0.9577741494801196,1.0
quality_score_soft_proxy_0_1,power,131072,Q_B,3.162277660168379e+19,3.981071705534986e+19,interior,quality_upper,0.9441203955668207,1.0
