scenario,compute_multiplier,type_shift,forecast_form,horizon_months,N_scale,D_scale,profile_n,q95_point,weighted_mean,profile_min,profile_max,interval_note
control_1x,1.0,baseline,platform,12,1.0,1.0,117,58.17531146646937,49.62724728675232,33.371032596309455,66.42613135077555,profile reweighting range; not a temporal forecast interval
control_1x,1.0,baseline,trend,12,1.0,1.0,117,69.67997906074166,61.1319148810246,44.87570019058175,77.93079894504784,profile reweighting range; not a temporal forecast interval
control_1x,1.0,pretrained_plus_10pp,platform,12,1.0,1.0,117,58.17531146646937,49.42423656626459,33.371032596309455,66.42613135077555,profile reweighting range; not a temporal forecast interval
control_1x,1.0,pretrained_plus_10pp,trend,12,1.0,1.0,117,69.67997906074166,60.92890416053688,44.87570019058175,77.93079894504784,profile reweighting range; not a temporal forecast interval
control_1x,1.0,pretrained_minus_10pp,platform,12,1.0,1.0,117,58.17531146646937,49.731932109106594,33.371032596309455,66.42613135077555,profile reweighting range; not a temporal forecast interval
control_1x,1.0,pretrained_minus_10pp,trend,12,1.0,1.0,117,69.67997906074166,61.236599703378886,44.87570019058175,77.93079894504784,profile reweighting range; not a temporal forecast interval
control_1x,1.0,chat_plus_10pp,platform,12,1.0,1.0,117,58.17531146646937,49.619485511416855,33.371032596309455,66.42613135077555,profile reweighting range; not a temporal forecast interval
control_1x,1.0,chat_plus_10pp,trend,12,1.0,1.0,117,69.67997906074166,61.12415310568916,44.87570019058175,77.93079894504784,profile reweighting range; not a temporal forecast interval
control_1x,1.0,chat_minus_10pp,platform,12,1.0,1.0,117,58.17531146646937,49.6295730455695,33.371032596309455,66.42613135077555,profile reweighting range; not a temporal forecast interval
control_1x,1.0,chat_minus_10pp,trend,12,1.0,1.0,117,69.67997906074166,61.134240639841806,44.87570019058175,77.93079894504784,profile reweighting range; not a temporal forecast interval
conservative_1_5x,1.5,baseline,platform,12,1.200906244869504,1.2490567073060697,117,59.68107438285203,50.98139841415623,33.92053404120897,67.9702626123034,profile reweighting range; not a temporal forecast interval
conservative_1_5x,1.5,baseline,trend,12,1.200906244869504,1.2490567073060697,117,71.18574197712432,62.4860660084285,45.42520163548126,79.47493020657569,profile reweighting range; not a temporal forecast interval
conservative_1_5x,1.5,pretrained_plus_10pp,platform,12,1.200906244869504,1.2490567073060697,117,59.68107438285203,50.77263586644587,33.92053404120897,67.9702626123034,profile reweighting range; not a temporal forecast interval
conservative_1_5x,1.5,pretrained_plus_10pp,trend,12,1.200906244869504,1.2490567073060697,117,71.18574197712432,62.27730346071816,45.42520163548126,79.47493020657569,profile reweighting range; not a temporal forecast interval
conservative_1_5x,1.5,pretrained_minus_10pp,platform,12,1.200906244869504,1.2490567073060697,117,59.68107438285203,51.089049232639,33.92053404120897,67.9702626123034,profile reweighting range; not a temporal forecast interval
conservative_1_5x,1.5,pretrained_minus_10pp,trend,12,1.200906244869504,1.2490567073060697,117,71.18574197712432,62.59371682691132,45.42520163548126,79.47493020657569,profile reweighting range; not a temporal forecast interval
conservative_1_5x,1.5,chat_plus_10pp,platform,12,1.200906244869504,1.2490567073060697,117,59.68107438285203,50.97382932990261,33.92053404120897,67.9702626123034,profile reweighting range; not a temporal forecast interval
conservative_1_5x,1.5,chat_plus_10pp,trend,12,1.200906244869504,1.2490567073060697,117,71.18574197712432,62.4784969241749,45.42520163548126,79.47493020657569,profile reweighting range; not a temporal forecast interval
conservative_1_5x,1.5,chat_minus_10pp,platform,12,1.200906244869504,1.2490567073060697,117,59.68107438285203,50.98366643450984,33.92053404120897,67.9702626123034,profile reweighting range; not a temporal forecast interval
conservative_1_5x,1.5,chat_minus_10pp,trend,12,1.200906244869504,1.2490567073060697,117,71.18574197712432,62.48833402878213,45.42520163548126,79.47493020657569,profile reweighting range; not a temporal forecast interval
overall_stock_2_3x,2.3,baseline,platform,12,1.4565591604057573,1.5790639079563928,117,61.27867077611943,52.438442073969696,34.57225973308398,69.60166887555897,profile reweighting range; not a temporal forecast interval
overall_stock_2_3x,2.3,baseline,trend,12,1.4565591604057573,1.5790639079563928,117,72.78333837039172,63.94310966824197,46.07692732735627,81.10633646983126,profile reweighting range; not a temporal forecast interval
